Number;Start time in milliseconds;End time in milliseconds;"Text"
1;2590;6540;"Ging is spelled G-i-n-g."
2;6890;10480;"Oh, so Nigg is an anagram!"
3;11390;16530;"My guess is that when I was a 
baby, I came here with Ging."
4;18130;21390;"He was probably trying to tell me this:"
5;22460;25670;"If I'm ready to give up everything to find him,"
6;25670;28650;"I have to get strong enough 
to clear the game..."
7;29700;32510;"Well? What will you do once you find Ging?"
8;32910;35630;"Naturally, I'll introduce him to Killua!"
9;36390;38970;"My best friend in the world!"
10;40850;42270;"Accompany on!"
11;42930;44020;"Nigg!"
12;123970;129020;"Reunion x And x Understanding"
13;159440;160660;"Is that"
14;161750;162810;"Gon's..."
15;173860;175570;"G-Ging..."
16;195670;197770;"I got a slot machine in my mouth!"
17;197770;199510;"It goes from 1 to 9."
18;199510;201940;"Each number summons a different weapon."
19;201940;203930;"This is my"
20;203930;205540;"Crazy Slots!"
21;204180;206670;"{\fad(900,281)}Crazy Slots: 
Psychotic Clown"
22;205540;206840;"Give me something good..."
23;207670;208680;"4!"
24;211960;213440;"Damn, bad roll."
25;214510;215310;"Shut up!"
26;215310;217320;"You should be grateful, you idiot!"
27;225810;227000;"An ant?"
28;227340;228530;"Are you hurt?"
29;242760;245500;"Is that Ging?"
30;259260;260660;"That isn't Ging..."
31;263860;264880;"Hey..."
32;264880;266320;"What was that about?"
33;266970;270270;"First you push us down, then you fire at us!"
34;270270;271940;"Enough fooling around!"
35;272260;273570;"Fooling around?"
36;273570;275010;"I was being dead serious."
37;275470;279440;"If I hadn't opened fire, 
you would have been attacked."
38;279440;280660;"By what?!"
39;280660;282970;"The ant you shot?"
40;286430;287360;"Ow!"
41;289870;291390;"What is this?"
42;291720;292890;"Idiot!"
43;306150;308020;"That's no ordinary ant."
44;308020;309440;"It's a Chimera Ant."
45;309440;310840;"A Chimera Ant?"
46;310840;315680;"An aggressive, carnivorous insect, 
currently under class-1 quarantine."
47;316910;319720;"From time to time, they even attack humans."
48;320970;325110;"You were standing right in front of their nest."
49;325110;327420;"Had I not fired,"
50;327420;331250;"a Chimera Ant army would 
have consumed you by now."
51;335530;338910;"I feel like this has happened before..."
52;346340;348840;"Don't worry, it's not serious."
53;348840;350070;"Apply this."
54;350070;351240;"It's an antibiotic."
55;352430;354350;"What? That's it?"
56;354350;356610;"Let's go nuts, man!"
57;356610;358910;"Shut up... Go away."
58;360220;362420;"You should leave, as well."
59;363280;364350;"Damn..."
60;364350;367080;"Because of this interruption, 
I'll need to start over."
61;367080;369510;"But the nest was destroyed."
62;369820;372390;"Man, forced to take another life..."
63;372780;373520;"Ah!"
64;387160;391260;"Man, forced to take another life..."
65;394500;395830;"Are you..."
66;396240;397580;"Are you the one"
67;398230;400040;"who saved me back then?"
68;400690;401860;"Back then?"
69;402230;406690;"On Whale Island, after I stumbled into 
the territory of a Foxbear with its cub."
70;408120;409090;"Whale Island?"
71;409480;410770;"That time, too,"
72;410770;413810;"you had to kill, in order to protect me."
73;426590;429450;"Oh, yes. I remember now."
74;429860;432660;"I never expected to run into you again here."
75;433400;436330;"You've grown, Gon."
76;437550;439460;"How do you know my name?"
77;439460;441520;"I heard it from your dad,"
78;441520;442670;"Ging-san."
79;443470;445880;"Old man, you know Ging?"
80;445880;446860;"Old..."
81;449050;451250;"Yeah, my name is Kite."
82;451250;452840;"Ging-san was my master."
83;499590;504080;"Oh, so you're also pro Hunters?"
84;504080;506280;"Yep. Are you one too, Kite-san?"
85;506280;507770;"Call me Kite."
