Number;Start time in milliseconds;End time in milliseconds;"Text"
1;3120;7120;"Once someone comes out, 
follow their directions."
2;9850;11220;"It's been fun."
3;11220;12200;"Good luck."
4;12200;13740;"Yeah, thank you."
5;18740;21270;"Is this Mikhail's residence?"
6;21980;25000;"Go do some shopping at 
Dick Sakura, by the station."
7;25220;27750;"At check out, give the cashier this card."
8;30530;32500;"Please come this way, sir."
9;121970;127020;"Strategy x And x Scheme"
10;131920;134320;"There are more people this time."
11;138700;140870;"I wonder if there's anyone I know."
12;143020;143910;"Yo."
13;144190;146550;"Last year, you had your way with us."
14;146550;148980;"But that won't happen again."
15;148980;152170;"We've undergone some hellish training."
16;152730;156040;"Our teamwork is perfect now."
17;159300;160800;"Thank you for coming!"
18;162170;166800;"This year, 1,489 applicants 
have made it this far,"
19;166800;172060;"but the Phase Two examiner has asked me 
to trim that number to about 300."
20;172770;174760;"As for the exam..."
21;174760;176840;"There are two hours before lunch."
22;176840;178690;"Defeat five people before then."
23;179400;180950;"Grab their tags when you defeat them,"
24;180950;183200;"and see me when you have all five."
25;183510;185320;"I'll wait on the other side of the door."
26;185750;186500;"Got it?"
27;186780;188580;"As soon as I shut the door,"
28;188580;190580;"you may start."
29;194680;197840;"Every stage of the exam should be like this..."
30;198770;202630;"You've gotta be strong to be a Hunter."
31;209980;211670;"Oh, you're here!"
32;211670;212620;"Killu—"
33;214680;215860;"Sucks for you."
34;216290;218440;"I'm the only one passing this year."
35;219490;221820;"He's totally out of our league..."
36;222970;226120;"So that's what it takes to 
become a top Hunter..."
37;226760;230640;"This will be the last time I 
attempt the Hunter Exam..."
38;239500;240950;"We finally have our first applicant."
39;242080;244160;"That took an hour and a half."
40;244600;245680;"What happened to everyone else?"
41;246310;247330;"They're all asleep."
42;250300;252910;"It took me a while to collect all their tags."
43;257430;259300;"Is there going to be a second stage?"
44;261910;264390;"That won't be necessary."
45;264390;267680;"He's demonstrated his skill."
46;268760;271320;"Killua, denizen of the darkness..."
47;271750;275000;"He's returned much stronger."
48;275780;279030;"Applicant 1219, Killua-kun."
49;279030;279960;"Yeah."
50;280410;281460;"You've passed"
51;283450;284480;"the Hunter Exam!"
52;290560;292190;"Welcome back, Killua."
53;292190;293370;"How was the exam?"
54;293370;295520;"I passed it in no time, naturally."
55;296170;297440;"Yay!"
56;298120;302030;"Sorry to interrupt your celebration, 
but look at these spell cards."
57;303690;305040;"Wow..."
58;305040;306990;"There's even an S-rank card!"
59;306990;309110;"How much can we sell it for?"
60;309110;312010;"Oh, let's go ask around!"
61;312010;314540;"No, we should use it wisely."
62;315050;316740;"So what should we do?"
63;316740;319110;"Well, I guess it's safe to hold on to it."
64;319530;321190;"With all these defensive spells,"
65;321190;323300;"we don't need to worry 
about it getting stolen."
66;323960;325690;"Have you tried any of these?"
67;325690;327650;"Just Blackout Curtain."
68;327650;328780;"What?"
69;328780;330930;"If you have all these cards, 
you should use them..."
70;331290;333730;"Start by using this one."
71;333730;338020;"You can choose a player you've 
met before, and talk to them."
72;334640;338020;"Contact 

Communicate with one target 
player (encountered within the 
game) via your Book. 
(Connection maintained for 
a maximum of 3 minutes. 
May only be broken by 
player who used this card.) 

[LR][NORM]"
73;338450;340090;"Who should we talk to?"
74;340090;342030;"We won't know until we see who's available."
75;342640;344030;"Contact on!"
76;349440;351660;"Oh, I see a lot of names."
77;354840;355840;"Hey, Gon..."
78;355840;357560;"When did you run into him?"
79;357560;358450;"Huh?"
80;362250;365010;"Chrollo Lucilfer"
81;363660;364570;"Chrollo?"
82;365340;367120;"Who's Chrollo?"
83;367120;370210;"I haven't seen Chrollo inside the game."
84;370210;373050;"Does that mean you guys passed 
each other without noticing?"
85;373050;374640;"Huh? What are you talking about?"
86;374900;376260;"That doesn't make sense."
87;376260;379020;"Kurapika sealed his <i>Nen</i>."
88;379270;382900;"Yeah, and you have to use 
<i>Nen</i> to enter the game."
89;382900;384620;"Who's Kurapika?!"
90;384620;386320;"That only leaves..."
91;387600;389630;"Let me in on this!"
92;393110;395330;"I get it. So that's what's going on."
93;396910;398250;"Hey, Shal..."
94;398250;400430;"Stop laughing, and explain 
what this is about."
95;400430;401830;"Sorry about that."
96;401830;404710;"Chrollo Lucilfer"
97;403020;404710;"This probably isn't the boss."
98;405580;407840;"He hasn't purged the <i>Nen</i> from his body."
99;409030;410200;"Purging <i>Nen</i>?"
100;410200;411090;"It's very doable."
101;411090;412050;"Seriously?"
102;412050;413170;"Of course!"
103;413170;414960;"If you can place <i>Nen</i> on others,"
104;414960;417350;"it's not unreasonable to think 
<i>Nen</i> can be removed, as well."
105;417800;422100;"Does that mean Chrollo has removed 
Kurapika's <i>Nen</i>, and entered the game?"
106;422360;423860;"Why would he be here?"
107;423860;425500;"I'm not sure,"
108;425500;427670;"but we should probably let Kurapika know."
109;428310;430600;"I'll leave the game real quick."
110;430600;432740;"You can use a spell card to leave."
111;433570;434800;"Save it."
112;434800;436440;"I can be out and back in four hours."
113;438350;440240;"I should have realized this sooner..."
114;440500;445000;"Yorknew City                                        Greed Island"
115;441210;445000;"This island is directly east of Yorknew City."
116;447410;449340;"East is the direction to go."
117;449340;452190;"You will find one who awaits you."
118;452750;453800;"I see."
119;453800;456600;"So the boss came here to find 
someone to purge that <i>Nen</i>."
120;457450;460760;"The boss arrived the same way we did,"
121;460760;462260;"but then Razor kicked him out."
122;462260;464790;"That was when he realized 
this was Greed Island."
123;465300;467840;"But since the boss can't use <i>Nen</i>,"
124;467840;470400;"he can't enter the island 
via the usual channels."
125;470920;474160;"So he must have hired someone 
to come to this island for him."
126;474750;478750;"He had them use his name 
as a hidden message to us."
127;480660;484010;"The one who can purge this 
<i>Nen</i> is on Greed Island."
128;486060;488550;"Change in plans again..."
129;488820;490860;"Let's bring everyone else here."
130;490860;494290;"Yes, we'll all start looking 
for this <i>Nen</i> exorcist."
131;494290;496170;"I have a small correction."
132;499760;500990;"You're..."
133;500990;501900;"Hisoka!"
134;502820;506640;"It was my idea to use Chrollo's name."
135;507290;510690;"Because I didn't know you could 
enter any name you like"
136;510690;513710;"until I was already inside..."
137;514970;516390;"You should praise my initiative."
138;516790;520580;"Since I helped you understand Chrollo's message."
139;520940;523010;"Ah, so that's what this is about."
140;523490;526330;"I'm dying to kill you right here and now,"
141;526620;528260;"but I'll let the boss do that."
142;530060;533550;"Well, if anything comes up, 
use Contact to get in touch."
143;534070;537020;"If I learn anything new, I'll let you know."
144;538360;539280;"Bye."
145;542680;545230;"So the boss hired Hisoka..."
146;545640;547820;"He probably didn't have much 
choice, but it's still weird."
147;547820;551060;"And his reward is probably a duel, 
once the boss is cleansed."
