Number;Start time in milliseconds;End time in milliseconds;"Text"
1;1100;11490;"{\an8\fad(902,1)}Shroud"
2;3230;4440;"<i>Ten</i>."
3;4440;7790;"The ability to build up a shroud of <i>Nen</i> aura."
4;7790;11490;"You can make your body harder, 
and considerably slow the effects of aging."
5;11510;20490;"{\an8\fad(460,1)}Null"
6;12680;13830;"<i>Zetsu</i>."
7;13830;16190;"A technique that nullifies your <i>Nen</i> aura."
8;16190;17830;"It is effective for concealing your presence,"
9;17830;20010;"and recovering from extreme fatigue."
10;20520;29000;"{\an8\fad(459,1)}Enhance"
11;20970;22110;"<i>Ren</i>."
12;22110;25260;"A technique to create an 
especially strong <i>Nen</i> aura."
13;25260;28480;"This ability is crucial for increasing your power."
14;29020;35510;"{\an8\fad(384,1)}Act"
15;30130;31160;"<i>Hatsu</i>."
16;31160;33200;"The release of your <i>Nen</i> aura,"
17;33200;35510;"after boosting via <i>Ren</i>."
18;36560;39650;"These four elements are known 
as the four major principles,"
19;38720;44020;"{\an8\fad(652,1)}Four Major Principles"
20;39650;43040;"and are critical to the mastery of <i>Nen</i>."
21;128980;130270;"Oh..."
22;131160;133520;"Don't look at me like that."
23;133570;138030;"Schwing"
24;135590;138030;"I'm getting turned on."
25;138030;143030;"A Big Debt x And x A Small Kick"
26;146870;151170;"Gon was able to land a solid 
punch to Hisoka's face."
27;151710;154440;"Will he be able to win the match?"
28;156340;157300;"Critical!"
29;157300;158670;"Two points for Gon!"
30;159410;164180;"Amazing! Gon managed 
to land a critical hit!"
31;164570;167590;"He's come back to take a 2-1 lead."
32;167590;169310;"Gon is on top!"
33;171690;173450;"However,"
34;173450;178320;"it appears that his punch hasn't 
dealt much damage to Hisoka."
35;178600;181570;"I have to question the referee's decision..."
36;182790;186580;"The referee is entitled to award 
points as he pleases."
37;187710;188660;"Huh?"
38;188660;192440;"Some referees award points based 
on the amount of damage done,"
39;192440;195380;"while some base scores on 
strategy and technique."
40;196220;200250;"I believe the referee in this case 
was rewarding the fighter for"
41;200250;203340;"using the stone block in his attack."
42;203720;205190;"I see..."
43;206040;208420;"So, who are you?"
44;209580;210600;"Okay!"
45;219160;221490;"O-Oh..."
46;221960;225060;"For the first time in this fight, 
Hisoka has moved!"
47;225060;227760;"And he's smiling ever so slightly."
48;228920;232250;"Is he finally getting serious?"
49;264200;266260;"What was that about?!"
50;266260;267530;"I have no idea!"
51;276580;278170;"How much have you learned"
52;278170;280050;"about <i>Nen</i>?"
53;281270;283050;"All of the basics."
54;283340;284540;"I see."
55;284540;286520;"You must be an Enhancer."
56;287320;289210;"H-How did you know?"
57;291120;293220;"You're so adorable..."
58;293220;296070;"You should do a better job 
of keeping a secret."
59;297220;298390;"Shut up!"
60;298390;300070;"How did you know?"
61;300070;303290;"I used a method similar to the 
blood type personality test."
62;303290;305240;"And it's just as unreliable."
63;305750;309580;"I devised my own way of using 
personality to classify aura."
64;312510;315030;"Enhancers are simple and earnest."
65;315820;316710;"He nailed it."
66;317180;318460;"He's right."
67;319780;322520;"By the way, I'm a Transmuter,"
68;322520;324210;"fickle and dishonest."
69;324210;325470;"It fits."
70;325470;326590;"He nailed it."
71;327690;329970;"Emitters have short tempers."
72;329970;332650;"Specialists are independent."
73;332650;334940;"Conjurers are high-strung."
74;335480;337860;"Manipulators are argumentative."
75;338670;341300;"The two of us are quite compatible."
76;341300;344040;"Our opposing personalities attract."
77;345060;347860;"We could become very intimate."
78;348330;353240;"But you should take care, 
because Transmuters are fickle."
79;353650;357750;"It takes a mere second for 
treasure to turn to trash."
80;363300;364510;"So..."
81;370370;374010;"Do not disappoint me, Gon."
82;382690;383440;"He's fast!"
83;397140;400180;"Wh-What a strong kick."
84;400180;403590;"He sent that stone block flying 
all the way to the entrance!"
85;442000;444180;"Fast, fast, fast!"
86;444180;446810;"Hisoka is demonstrating his true power."
87;447690;448960;"Critical for Hisoka!"
88;448960;450130;"Add points."
89;450130;451260;"3-2!"
90;451650;453840;"His nonstop flurry of attacks has been scored"
91;453840;455460;"as a critical strike."
92;455460;457770;"He's regained the lead."
93;462250;463820;"Gon appears to be confused..."
94;463820;465360;"Does he have no way to fight back?"
95;465360;467270;"He's backing off."
96;468680;469870;"Amazing..."
97;469870;471280;"Too amazing."
98;473950;475580;"What's wrong?"
99;475580;477230;"Attack me."
100;477230;479540;"Forget it. 
I'm brainstorming!"
101;486210;489300;"I can just barely follow him by eye,"
102;489300;491320;"but the rest of my body can't keep up."
103;491320;494050;"At this rate, he'll beat the crap out of me!"
104;494810;495970;"Very well."
105;495970;500310;"Then I'll have to force you 
to come over here..."
106;505940;507560;"Gon, use <i>Gyo</i>{\fscx20} {\fscx100}!"
107;510200;511070;"Crap!"
108;519870;521700;"Do you understand"
109;522440;524080;"what is happening?"
110;540920;544180;"Gon has been drawn toward Hisoka!"
111;564670;568120;"This is my Elastic Love..."
112;568120;570250;"Also known as Bungee Gum."
113;570660;574260;"It can expand and contract."
114;574690;579010;"And attach and detach as I desire..."
115;584400;586980;"You won't be able to escape."
