Number;Start time in milliseconds;End time in milliseconds;"Text"
1;2220;5150;"Hey, Youpi!"
2;8660;11150;"I'm over here, fool!"
3;15600;20310;"I'm telling him that there's one 
more enemy to worry about?"
4;21740;23250;"That's fine."
5;24040;27500;"That will serve to distract Youpi,"
6;27500;29990;"and it will save Shoot."
7;111000;116050;"Duty x And x Question"
8;122120;123610;""Hagya-sama.""
9;123610;126830;"Ikalgo didn't realize that the name 
he had spoken with full confidence"
10;127190;131160;"had aroused Welfin and Brovada's suspicions,"
11;131430;134200;"as he headed beneath the palace"
12;134200;136670;"to search for Palm."
13;162980;164560;"Satellite Dragonflies!"
14;170860;174610;"Ikalgo knew Palm only through the 
information he had been given."
15;175280;177670;"However, he was already firm in his resolve"
16;177670;182610;"that he wouldn't leave the palace without finding her."
17;184120;185870;"I'm gonna rescue her."
18;186370;188120;"Palm is a friend of a friend."
19;189600;190870;"That makes her a friend..."
20;191970;193620;"My friend!"
21;196900;200060;"Palm was risking her life."
22;200060;203430;"That fact alone had earned Ikalgo's respect."
23;210970;213340;"I'm not doing this out of duty or obligation."
24;215810;217000;"I want to help her..."
25;219370;221650;"Because I decided I would help her!"
26;224500;226660;"The elevator leading underground"
27;227140;230920;"was equipped with a security camera and a scale."
28;231290;232920;"After arriving underground,"
29;232920;235670;"it would confirm that there was nothing inside"
30;235670;237710;"before automatically returning to the surface."
31;238770;241320;"Any number of people could descend at once,"
32;241320;244180;"but only one could ascend at a time."
33;244180;248060;"And a pass code had to be entered."
34;248400;251830;"The eight-digit code varied per person, 
and could be used to identify"
35;251830;254190;"who had used the elevator."
36;254770;257680;"If the user's height and weight 
do not match the data"
37;257680;263390;"on record from the time the code 
was assigned, a warning sounded,"
38;263390;266150;"and the elevator became a prison."
39;267830;272200;"On the first entry of an incorrect code, 
a warning sounded, and the doors locked."
40;273380;277060;"Should an incorrect code be entered three times, security was alerted,"
41;277060;280690;"the elevator filled with sleeping gas, 
and the violator was captured and tortured."
42;281110;283700;"In other words, a third error meant death."
43;290170;296710;"Both the violator and the code's 
original owner would be killed,"
44;296990;300000;"making one's code as valuable as one's own life."
45;301480;304170;"And the only code holders"
46;304170;307630;"able to use the elevator without 
any such restriction"
47;307630;309870;"were Bizeff and Marcos."
48;311600;316290;"That was because the elevator 
was a more convenient means"
49;316290;319530;"of smuggling in various things, including humans,"
50;319530;322880;"than the cargo entrance, 
which was watched by soldiers."
51;337700;339700;"What is this smell?!"
52;340220;344280;"Has Flutter been living in the morgue?"
