Number;Start time in milliseconds;End time in milliseconds;"Text"
1;3550;5520;"These suction cups saved me."
2;6170;8650;"Anyway, aren't you an octopus?"
3;8650;9980;"Don—"
4;89980;94990;"Ikalgo x And x Lightning"
5;96520;101740;"A mob of assassins attacks Killua after he 
and Gon split up to stop the selection."
6;102350;106170;"One of them is Ikalgo, 
an octopus Chimera Ant."
7;107020;108750;"Aren't you an octopus?"
8;108750;110800;"Don't call me an octopus!"
9;112630;114510;"See ya!"
10;114830;119010;"I need to find a new host, or 
I can't charge up my next shot."
11;119400;122010;"I'll let the Ortho siblings take it from here."
12;128010;130060;"Yo, we meet again."
13;131600;133100;"So we do..."
14;133100;135130;"Long time, no see!"
15;135130;136060;"Ya know?"
16;137740;138930;"Can I ask you something?"
17;138930;141000;"Sure, go ahead!"
18;141000;143700;"Why didn't you dive underwater to escape?"
19;144860;148390;"You should have an advantage in the water."
20;148390;151210;"Don't tell me you can't swim."
21;151430;153940;"Uh, well..."
22;153940;155080;"It's the blood, right?"
23;157240;160780;"When they smell blood, your 
buddies in the water go berserk"
24;160780;163930;"and attack the injured, no matter who it is."
25;164670;168740;"With those wounds, if you went in there, 
you'd be torn to shreds."
26;169500;170510;"Am I wrong?"
27;170510;172990;"Uh, w-well..."
28;172990;174980;"I suppose that's one way to..."
29;174980;177530;"Ikalgo, did you finish off the kid?"
30;177950;179490;"No, we're still fighting!"
31;180700;182240;"Who are you talking to?"
32;183490;185240;"I screwed up!"
33;185770;189340;"Right, you all can communicate via telepathy."
34;189640;193160;"Talking to your boss? It's that guy 
who was flying over me, right?"
35;193160;194970;"Wait, now look here..."
36;194970;196990;"Uh, so..."
37;194970;198280;"{\an8}Hey, Ikalgo! Answer me!"
38;196990;200510;"You could say that's what I might be doing..."
39;198280;200510;"{\an8}Yes! We're still fighting!"
40;201170;202990;"Oh, sorry to interrupt you."
41;202990;204760;"Let me know if you learn anything."
42;205860;209680;"If he sees dozens of dragonflies 
flying around inside a cave,"
43;209680;212220;"the enemy would get suspicious..."
44;212220;215020;"I won't be able to send my 
Satellite Dragonflies inside."
45;215250;217250;"Let's make a deal, then."
46;218800;222860;"If you tell me about his power, 
I'll spare your life."
47;223340;224780;"You have ten seconds to answer."
48;232360;233670;"Eight seconds left."
49;242860;243970;"Six seconds."
50;254350;257970;"I wanted to be reborn a squid..."
