Number;Start time in milliseconds;End time in milliseconds;"Text"
1;4820;8030;"We are no different from the Ants."
2;9150;9860;"No..."
3;10340;12110;"We are far worse."
4;96540;98700;"The rose was poisonous."
5;99900;104510;"The poison, which spread 
when the rose bloomed,"
6;104510;107710;"was superior to similar toxins"
7;108070;113960;"because it was immediately absorbed by 
those in the area unfortunate enough"
8;113960;115460;"to survive the explosion."
9;116090;119710;"Rapid destruction of their organs would begin,"
10;119710;121460;"and their bodies themselves"
11;121460;128000;"would become poisons that continued to 
emit new poison, until the victim died."
12;128000;132720;"The amount of poison for a lethal dose and 
the amount of time until the subject died"
13;132720;136490;"perfectly created a chain of poisoned victims."
14;137780;138990;"In other words,"
15;147830;153000;"it was a demonic weapon 
more inhumane than any other."
16;234000;239000;"The Word x Is x That Someone"
17;248540;251150;"Th-This is..."
18;252570;255970;"What is happening to my body?"
19;261730;262650;"Pouf."
20;269400;272160;"Is something the matter, Meruem-sama?"
21;277820;281370;"Have you changed your mind?"
22;282350;285680;"In that case, we must evacuate you at once."
23;288120;289020;"Your Majesty?"
24;289690;291890;"Even when I can see right through him,"
25;292590;295100;"he still refuses to divulge his secret."
26;296700;297940;"Very well."
27;298390;303500;"I only have to capture the remaining intruders."
28;304920;308660;"I am very curious about your secret now."
29;309310;313950;"You do not intend to change your 
mind about telling me, do you?"
30;318650;322420;"I will keep my word, even if it costs me my life."
31;326450;327470;"Good."
32;340060;343750;"<i>He's already using his final 
permissible </i>En <i>search</i>!"
33;346530;347710;"I can see"
34;348590;349870;"everything."
35;351060;353900;"I see what has changed since 
the first time I used</i> En."
36;355750;358300;"The footprints that were not there before."
37;359740;361880;"An abandoned vehicle."
38;363500;365310;"Youpi's corpse."
39;366840;368940;"A door that has been opened."
40;370500;373760;"And someone responding to my</i> 
En <i>who did not previously."
41;383170;384410;"Huh?!"
42;389980;393030;"Was it you who killed Youpi?"
43;395680;398260;"A-Absolutely not!"
44;398260;400320;"I am a mere Squadron Leader!"
45;400320;403670;"I would never have any reason to kill Youpi-dono!"
46;405530;406910;"Youpi-dono"
47;407550;411440;"was talking to me when he 
suddenly coughed up blood,"
48;411440;414170;"became overcome with pain, and died."
49;414170;416210;"I swear that I'm not lying!"
50;416580;418060;"I'm not lying..."
51;418390;421560;"Yes, I did attack Youpi."
52;425090;429780;"But before he could answer my question..."
53;430900;434190;"Before my black centipedes could even hatch..."
54;435100;436290;"He died."
55;438180;440840;"I believe that he must have been hit"
56;440840;444910;"by some sort of attack before encountering me."
57;444910;449300;"That's why I came here to 
investigate if any intruders"
58;449300;451720;"are hidden in the crowd."
59;458310;460070;"The Royal Guard Pouf..."
60;460070;462110;"He's going to be trouble."
61;462110;466100;"I'm pretty sure he has the 
ability to read my mind."
62;466880;469370;"Welfin is a serious threat."
63;470080;472690;"I have no idea what he might tell the King..."
64;472690;475500;"Simply telling him to keep quiet 
would be too lenient."
65;476050;478510;"I should eliminate him immediately!"
66;479120;482340;"I should accuse him of being a traitor, 
and execute him on the spot."
67;483160;486120;"In any case, I must get him away from the King."
68;489030;490830;"Meruem-sama, he is—"
69;490830;493050;"I know what you want to say."
70;494480;498480;"I can now sense the emotions of 
any that my <i>En</i> has touched."
71;498880;502350;"I could feel his unbridled hostility toward me."
72;504820;505810;"In..."
73;506710;507860;"Incredible..."
74;508500;511940;"Once someone has been exposed to my <i>En</i>,"
75;512640;515360;"I can see into their mind by simply looking."
76;516730;519800;"So it wasn't just Youpi's wings and attacks."
77;520370;522870;"The King also inherited my Spiritual Message..."
78;523420;528160;"And he's made it infinitely more powerful."
79;530740;531960;"Your Majesty!"
80;533300;534710;"The King is invincible..."
81;535350;536980;"The King is unrivaled!"
82;538480;539690;"And yet..."
83;543000;544550;"Why?!"
84;546370;549250;"Why is my heart"
85;551270;553040;"filled with"
