Number;Start time in milliseconds;End time in milliseconds;"Text"
1;2160;4120;"I must crush his will."
2;4580;7970;"His will to fight, his will to stand,"
3;7970;9440;"his will to resist..."
4;11860;19710;"Let me demonstrate that all your hard 
work and confidence mean nothing!"
5;99990;105040;"Victor x And x Loser"
6;121820;122640;"He's fast..."
7;123130;125390;"I had no time to dodge!"
8;127300;129670;"But I can still block his attacks!"
9;130450;132690;"<i>Oh? He used </i>Gyo?"
10;133480;135600;"The moment I grasped his arm,"
11;135600;138450;"he focused his aura there to block my attack."
12;139950;141050;"Idiot!"
13;141050;144080;"You think you've outwitted me now?!"
14;154370;155920;"What's the matter?"
15;155920;157970;"That was just a body blow."
16;158580;161170;"If you focus your aura where I grab you,"
17;161170;163970;"you leave yourself open everywhere else."
18;163970;165300;"It's futile..."
19;165300;169250;"In fact, you're only making 
it harder on yourself."
20;174260;176110;"Bisky was right!"
21;178670;180740;"You won't be smiling much longer!"
22;186510;189400;"One more hit to send you to hell!"
23;195450;196490;"Impossible!"
24;196490;198180;"That was the hardest hit so far!"
25;198180;199920;"He shouldn't have been able to counter."
26;200470;204680;"But since he did, that means he 
kept the damage to a minimum."
27;204800;209730;"{\fad(196,1)}In other words, he blocked me 
without relying on aura."
28;210320;213250;"He guessed I didn't intend to set off a bomb?"
29;214640;216770;"No, that wasn't a guess."
30;218030;219490;"Hey, Bisky..."
31;219490;223030;"How does Genthru avoid being 
burned by his own bombs?"
32;224110;225580;"That's quite simple."
33;225580;230700;"He shrouds his hand in aura that's 
stronger than the explosion."
34;230700;232290;"Oh... I get it."
35;232730;236290;"It's a technique that requires 
a large aura reserve."
36;237580;239530;"This is a good opportunity."
37;239530;241300;"By now, you should be able to tell."
38;244190;245600;"Excellent reaction!"
39;245600;247790;"<i>You've almost perfected </i>Gyo."
40;247790;249560;"One more time, then."
41;250870;251760;"Huh?"
42;251760;253250;"Could you tell the difference?"
43;253250;257040;"Yeah, you used less aura the second time."
44;257430;259330;"Okay, you pass."
45;259330;263820;"You'll have an easier time with him 
if you can tell the difference."
46;264580;269130;"<i>When Genthru prepares Little Flower, 
he will shroud his hand with </i>Gyo."
47;269130;273780;"If he's just faking and planning 
to attack you somewhere else,"
48;273780;275970;"<i>he probably won't use</i> Gyo."
49;277030;281050;"<i>If you can tell if his hand is covered 
with</i> Gyo <i>when he grabs you,</i>"
50;281460;285840;"it'll be simpler for you to know 
which attack you should block."
51;287290;288220;"So that's it."
52;288910;290560;"You knew from my <i>Gyo</i>."
53;290560;291850;"Cunning."
54;294770;296350;"Let me repeat myself."
55;297000;300640;"The shallow strategy you're using will backfire."
56;300640;305450;"If you're caught by Little Flower when 
you aren't using enough aura to defend,"
57;305880;310870;"a hit to the face will blow off your eyes, 
nose, and mouth with no hope of repair."
58;311310;316760;"A hit to the arms or legs will incinerate skin, 
severely damaging any nerves or muscle."
59;317150;319780;"You'll have no fingers or toes left."
60;320670;325510;"It's not possible for you to use <i>Gyo</i> to guard 
against every attack that uses <i>Gyo</i>."
61;326360;327130;"Now what?"
62;328320;330850;"I'm not interested in continuing this."
63;330850;333270;"Fighting you has made me see something..."
64;333610;336810;"You have talent and a promising future."
65;336810;338520;"And many other chances."
66;339180;344000;"Don't you think it's meaningless to throw 
all that away just for your pride?"
67;344700;347530;"Just give up, stupid kid!"
68;348810;352830;"If he makes like he's going to use 
both hands to blow you up,"
69;352830;354390;"that's a red light."
70;354390;357410;"Then it'll be time to stick to the plan."
71;358180;360920;"Sorry, Bisky and Killua."
72;361380;364140;"I'm gonna be selfish here."
73;364140;366280;"I have to give it a try..."
74;366620;369490;"Because I just had a great idea!"
75;370900;373430;"If you seriously mean that,"
76;374500;376810;"you should surrender, Genthru!"
77;379490;380720;"A shame..."
78;384690;385820;"Let me show you"
79;386480;391240;"that there are some things worse than death."
80;392710;395280;"I'll blow up both your arms."
81;395280;398260;"Use <i>Gyo</i> to protect the one you want to keep."
82;398260;402580;"After that, I'll blow up your 
remaining arm and left leg."
83;402580;405020;"Use <i>Gyo</i> to protect the one you want to keep."
84;405020;407590;"And so on..."
85;407590;409980;"Until you're out of limbs."
86;409980;411930;"Go ahead and try!"
87;412500;413520;"Very well."
88;417360;418180;"Take this!"
89;427710;430510;"Wh-What happened?"
90;435590;436490;"Blood?"
91;437430;438390;"Damage?"
92;438880;440680;"He landed a hit?"
93;441550;443930;"First comes rock!"
94;445140;445880;"Crap..."
95;446460;448260;"Move... Dodge!"
96;448550;449380;"Rock..."
97;450220;450880;"Paper..."
98;452220;454210;"Rock!"
99;461000;462480;"Did he hit me?"
100;462820;464950;"No, I tripped."
101;466080;468030;"What was that?"
102;468030;469460;"What just happened?"
103;472480;473780;"Now I understand..."
104;474620;476870;"Th-This kid..."
105;477260;479180;"He sacrificed both hands!"
106;482060;485830;"But the damage wasn't distributed evenly!"
107;486510;488820;"He probably gave up completely on his left hand,"
108;488820;491860;"protected his right hand with 30% of his aura,"
109;491860;495520;"and focused the remaining 70% on his legs..."
110;497010;499030;"to attack me!"
111;500060;503900;"I use aura both to explode targets and 
to shield my hand from the blast."
112;504380;507000;"If I use it on both hands,"
113;507000;510080;"I won't have much left for the rest of myself."
114;510080;511490;"He took advantage of that!"
115;512060;516120;"Still, no one sane would actually try that!"
116;517040;520130;"I gave him a pretty good scare!"
117;523380;524940;"Damn..."
118;525330;527030;"This hurts like hell."
119;527630;528480;"But..."
120;529670;530630;"I'm going for it!"
121;533020;534630;"I'm done..."
122;535640;536800;"He's done?"
123;536800;537890;"Is he giving up?"
124;538660;539950;"Of course..."
125;539950;541640;"That makes sense."
126;541640;544720;"He's lost his left hand, 
and his right is badly injured."
127;545020;548050;"And he managed to land a hit on me."
128;548050;550520;"He must be satisfied now."
129;550850;553030;"I'm done being selfish..."
130;554330;555900;"Time to get serious!"
131;556730;558780;"Let's do this, Genthru!"
132;560070;562290;"Th-This kid's"
133;563080;564620;"totally insane!"
134;570560;571440;"Book!"
135;574360;575320;"A card?"
136;575810;577860;"He shouldn't have anything to concern me."
137;579590;581200;"The card transformed?"
138;581490;583090;"Paladin's Necklace?!"
139;583740;585270;"What is he planning?"
140;586190;588400;"This is your last chance to surrender."
141;589250;593810;"Once I use this, you could end up dead."
142;594130;596150;"You're clearly bluffing!"
143;596690;597910;"Now wait..."
144;597910;599660;"This is my chance."
145;599980;600950;"Book."
146;601890;603120;"I give up."
147;603480;607160;"Obviously, you're never going to surrender."
148;607540;608670;"Take them."
149;610740;612600;"I'll silence him."
150;612890;615420;"Crushing his windpipe and 
knocking him out would be best."
151;616030;619180;"Then I can take the cards from his binder."
152;619660;621440;"I have one request."
153;621740;622660;"What is it?"
154;622660;625780;"Could you leave me this card?"
155;632130;632690;"Bah..."
156;633160;635440;"He blocked my second attack with </i>Gyo<i>!"
157;635810;638080;"But I did manage to crush his windpipe!"
158;638080;642010;"He won't be able to use Book or Gain anymore."
159;644210;645570;"Genthru..."
160;645570;649080;"You have made the worst mistake you could make."
161;649790;650830;"Gasoline 

A glass container 
filled with fuel. 
Highly flammable."
162;651710;652580;"One minute!"
163;657900;659090;"What's that smell?"
164;662250;664850;"He can't use Little Flower any longer."
165;665850;667600;"I'm going to take him down!"
166;667890;668430;"Book."
167;670940;673330;"Oh, so this is gasoline..."
168;673330;674610;"Very clever."
169;674980;677900;"True, I cannot use Little Flower now..."
170;677900;680360;"However, I have another ability,"
171;680900;682990;"Countdown."
172;683630;686830;"The ability that lets me set a bomb"
173;686830;690500;"when I touch someone and say "Bomber.""
174;691060;694990;"The bomb can only be disarmed 
by touching me and saying,"
175;694990;697500;""I caught the Bomber.""
176;698130;701160;"This one is ten times stronger than Little Flower."
177;701160;704100;"You won't be able to block it with <i>Nen</i>."
178;704750;707450;"All the activation requirements have been met."
179;708090;712520;"If I touch you and say, "Bomber," 
the countdown will begin."
180;713100;714920;"Try to run away..."
181;714920;717020;"If you still have the strength."
182;717470;720650;"The requirements have been met... for me!"
183;721930;724160;"First comes rock..."
184;725690;727580;"This is his earlier attack..."
185;727970;729660;"If get too close, I'm done for."
186;730380;731910;"Is he trying to keep me back?"
187;732350;733330;"Rock..."
188;733830;734800;"Paper..."
189;735630;738530;"Rock!"
190;745800;746760;"A pitfall?"
191;747240;749850;"But he's falling with me!"
192;761970;762860;"It's deep..."
193;763280;764750;"I can't climb back up."
194;764750;766880;"But he should be in the same boat."
195;766880;770370;"He's ended up cornering himself."
196;774180;775000;"He's gone."
197;776260;777730;"Genthru..."
198;782490;785380;"If a card is removed from 
the binder for a minute,"
199;785380;786860;"it reverts to an item."
200;788320;789560;"Large Rock"
201;793610;794890;"A rock?!"
202;814060;816930;"First comes rock..."
203;819240;820780;"Rock..."
204;820780;821920;"Paper..."
205;822330;823760;"W-W-Wait!"
206;823760;826510;"I surrender! I surrender!"
207;826510;829590;"Rock!"
208;843370;844320;"Osu!"
209;853670;854700;"Are you awake?"
210;855300;857410;"Summon your binder."
211;857940;861150;"We want you to return the cards you stole"
212;861150;863160;"from the people you backstabbed."
213;863780;865840;"On one condition..."
214;867180;870840;"Use Archangel to heal Bara."
215;871970;873820;"We have a Clone card."
216;874440;875720;"Don't worry."
217;876430;878340;"That was always part of the plan."
218;878690;882610;"We brought six copies of Clone."
219;886890;888240;"Book..."
220;892110;892840;"Gain!"
221;903310;905880;"What is your wish?"
222;906580;910630;"We need you to heal his hands and throat."
223;911010;913640;"Actually, can you just heal all his injuries?"
224;914200;915970;"Easily done."
225;915970;919890;"Then I shall heal his body."
226;933370;935250;"I'm healed!"
227;935250;936920;"Then, farewell."
228;936920;938860;"All right!"
229;940230;943540;"Okay, here's the extra Archangel."
230;947060;947960;"Gain!"
231;955100;956670;"Next up is Killua."
232;957420;960650;"Genthru, we're going to use your binder."
233;961150;962560;"Go ahead."
234;963200;964640;"Clone on!"
235;965600;969510;"Breath of Archangel has reached 
its maximum card limit."
236;969510;971200;"Clone will be destroyed."
237;973810;975290;"W-W-Wait!"
238;975290;976420;"What's going on?!"
239;976420;977960;"Did I do something wrong?"
240;977960;979790;"No, it's Goreinu."
241;979790;980450;"Huh?"
242;980980;985270;"He used Clone or Transform to increase the 
number of Breath of Archangel vouchers."
243;985950;989960;"So two of his vouchers became 
Breath of Archangel cards."
244;992380;996290;"Another player has used Contact to reach you."
245;996780;998660;"Yo, it's Goreinu."
246;999100;1000980;"Looks like you won."
247;1003060;1004480;"But I don't approve of this."
248;1005490;1008770;"If you plan to use Breath of Archangel 
to heal these murderers,"
249;1008770;1010230;"the trade is off!"
250;1010660;1011890;"You okay with using it on me?"
251;1011890;1013090;"Of course."
252;1013820;1015610;"I am an assassin."
253;1015610;1016550;"Eh?"
254;1016550;1018870;"I've killed more people than these guys."
255;1019780;1023670;"Each player in this game risks their 
life in one way or another."
256;1024110;1026480;"That doesn't make it okay to kill others."
257;1026870;1031870;"But all the people I've killed were 
not nearly as prepared to die."
258;1032500;1034510;"I'm worse than these guys."
259;1035040;1037810;"No, you aren't like them."
260;1038180;1041800;"I like you, but I hate their guts!"
261;1041800;1043670;"That isn't a valid reason!"
262;1043670;1044910;"I don't need a reason..."
263;1044910;1046270;"What counts is how I feel."
264;1046800;1048480;"Aren't you guys the same way?"
265;1048810;1050770;"But we don't think it's right"
266;1050770;1054130;"to let them die because we hate them."
267;1055120;1057630;"In battle, both sides risk their lives,"
268;1057630;1060240;"and are prepared to kill."
269;1060870;1064660;"But that doesn't apply once the fight is over."
270;1064960;1070040;"I haven't forgiven Genthru for 
killing all those players..."
271;1070400;1073900;"But the three of us agreed before the fight"
272;1073900;1076430;"that we'd bring six Clone cards."
273;1077300;1080550;"I don't really remember why we decided that,"
274;1081180;1083810;"but it wasn't based on logic or reason."
275;1084740;1087060;"It was just the decision that came naturally to us."
276;1087480;1091160;"Once the fight was over and we'd 
obtained Breath of Archangel,"
277;1091160;1093570;"we planned to heal everyone."
278;1094180;1097710;"All three of us made the decision, 
so we wanted to stick to it."
279;1098440;1101830;"But I understand how you feel, 
and we can't change your mind."
280;1102450;1103700;"Sorry, Killua..."
281;1104350;1106250;"Could you wait a little longer?"
282;1106690;1108050;"No problem."
283;1108050;1110080;"I'll recover on my own in a while."
284;1114260;1117330;"The situation's changed, so we 
can't use Clone anymore."
285;1117700;1120030;"There's only one Breath of Archangel left."
286;1120330;1123720;"Only one? Isn't that the original?"
287;1124680;1126600;"Use it on Genthru."
288;1127610;1129170;"I'm fine..."
289;1136860;1139860;"Okay, let's use Accompany to go to Masadora."
290;1140200;1141210;"Yeah."
291;1141210;1142740;"Hey, wait up..."
292;1142740;1146250;"Fine, you can have Breath of Archangel."
293;1146610;1147220;"Huh?"
294;1147220;1149210;"Really? Are you sure?"
295;1149210;1150600;"Yeah, actually..."
296;1150600;1154300;"Before you told me all this, 
I planned to give it to you."
297;1154300;1157630;"Not just Archangel, but all of our cards."
298;1157630;1158680;"What?!"
299;1158680;1162390;"Tsezgerra, his team, and I all agreed."
300;1163000;1165700;"We've decided to give up on the game."
301;1169640;1171900;"Wow, I'm completely healed!"
302;1172770;1174820;"Oh, so Mr. Battera..."
303;1174820;1178900;"Yeah, he paid Tsezgerra and his 
team for breaking his promise."
304;1178900;1180770;"I got four billion out of it."
305;1180770;1181910;"Four billion?!"
306;1181910;1182850;"Hey..."
307;1182850;1184390;"Share some of the wealth!"
308;1184390;1185920;"Wh-What are you talking about?"
309;1185920;1188920;"Each of the four of us gets one billion!"
310;1189250;1190500;"Eh?!"
311;1190880;1192290;"It's only fair..."
312;1192290;1194910;"I couldn't have done this on my own."
313;1194910;1198550;"It was only possible because 
I teamed up with you guys."
314;1199360;1201440;"I can't believe it..."
315;1202200;1204800;"You're such a nice guy!"
316;1205160;1208310;"Anyway, you can take all the cards."
317;1208940;1210930;"On one condition!"
318;1210930;1214210;"You must be the first players to beat the game."
319;1214210;1215030;"Yep!"
320;1215030;1215940;"Not a problem."
321;1216520;1219270;"That gives you ninety-nine restricted slot cards."
322;1219680;1222200;"Leaving only #0."
323;1222730;1224020;"One card to go..."
324;1224420;1225330;"Yeah."
325;1227530;1231170;"Ninety-seven, ninety-eight..."
326;1231790;1233190;"And this is..."
327;1234080;1236340;"Maid Panda 

A species on the 
verge of extinction. 
Tidy, loves to cook, 
and some individuals 
enjoy Western clothing 
and gardening. 
Excellent at taking 
care of human children."
328;1234580;1236340;"ninety-nine!"
329;1243300;1245590;"This announcement is for all players."
330;1246160;1251480;"A player has collected ninety-nine 
restricted slot cards."
331;1251860;1255660;"Ten minutes from now, in honor of this event,"
332;1255660;1261610;"there will be a quiz contest 
for all <i>Greed Island</i> players."
333;1262520;1264560;"There will be one hundred total questions"
334;1264860;1267620;"dealing with restricted slot cards."
335;1268390;1272370;"The player who has the most 
correct answers will receive"
336;1272880;1276630;"#0 Ruler's Blessing as a prize."
337;1277380;1280750;"Please wait with your binders open."
338;1281480;1284440;"Questions about restricted slot cards, huh?"
339;1284440;1285880;"I get it."
340;1286460;1289530;"The questions are probably 
designed so that players"
341;1289530;1292020;"who mainly stole cards can't answer them."
342;1294480;1295370;"Someone's coming!"
343;1295850;1297880;"Wait, more over here!"
344;1303960;1309640;"The long battle has finally 
reached its final stage."
345;1381150;1387990;"G.I. Tutorial"
346;1381910;1384840;"Coming up, it's the 
Greed Island Tutorial!"
347;1386910;1388900;"Today, we introduce the card Transform."
348;1387990;1394740;"Transform 

Change one card in your possession into any 
other card in your possession. (Card will now 
count against the limit of new card type. If limit has already been reached, nothing will happen, 
and the Transform card will be destroyed.) 

[SR][NORM]"
349;1388900;1391680;"You can change one card into any other card."
350;1391680;1392790;"Gon, quick!"
351;1392790;1395180;"<i>Transform on!</i> Gold Dust Girl."
352;1395180;1396290;"Gold Dust Girl 

A girl who releases golden dust. 
One bath a day will net 500G. 
Very shy and quiet."
353;1395950;1396710;"Gain."
354;1397710;1398870;"G.I. Tutorial"
355;1399270;1401250;"Continue!"
