Number;Start time in milliseconds;End time in milliseconds;"Text"
1;2080;4020;"{\fad(464,1)}Midnight"
2;121970;126980;"Monster x And x Monster"
3;142030;146820;"The moment Killua entered the palace..."
4;146820;148020;"I knew it!"
5;148400;149490;"...was his reaction."
6;151190;153700;"He couldn't sense Pitou's <i>En</i> at all,"
7;154100;160010;"and before him stood Youpi, whom nobody had 
expected to encounter on the first floor."
8;161210;163070;"Despite the fact that they were now"
9;163070;166390;"in a situation that was utterly 
unforeseen in their planning,"
10;167120;171020;"Killua's experience helped him stay calm."
11;174090;175860;"Who are these guys?"
12;175860;177530;"Where did they come from?"
13;178490;182530;"From Youpi's perspective, too, 
his current situation was an impossibility."
14;182780;185720;"Youpi immediately ceased all thought."
15;215950;217680;"I am a shield."
16;218030;221200;"I protect the King with my body."
17;221770;227140;"Of the Royal Guard, Youpi alone was 
created from Magical Beasts, not humans."
18;227660;229450;"Perhaps that was why"
19;229450;233010;"he lacked the self-preservative 
nature of the other two Royal Guard."
20;233010;235710;"However, that lack also gave him strength."
21;241770;246160;"The moment Youpi changed 
forms with a belligerent smile,"
22;246160;248180;"Shoot froze at once."
23;253970;258980;"However, it wasn't because 
Shoot was slow to react."
24;259750;263990;"If I move any closer, he will attack."
25;265140;270740;"And if his attack happens to connect with 
the invisible Knuckle and Meleoron..."
26;273790;277500;"In order to draw Youpi's attention toward himself,"
27;277840;281270;"he began to move his cage and floating arms..."
28;282260;283620;"And then it happened."
29;298430;300870;"This is Dragon Dive!"
30;303270;305320;"Then the old man's friend is..."
31;305960;308680;"Only Killua understood what was happening,"
32;308680;310590;"and it momentarily froze him."
33;311670;315390;"The shock was even greater to those 
who didn't know what was going on."
34;316830;319660;"There were only two present,"
35;323200;326840;"Gon and Youpi, who remained focused 
on the enemy that faced them."
36;327580;328340;"No way!"
37;328930;330100;"Has he lost it?"
38;330630;333120;"You aren't supposed to fight Youpi..."
39;333710;336120;"No, wait."
40;343480;345810;"Realization came a moment later to Killua,"
41;345810;349900;"and still a few moments later to the others."
42;351820;355820;"Seriously, even in this situation,"
43;355820;359380;"how did he realize that, and so quickly?"
44;360480;366910;"If Meleoron and Knuckle were to 
be pierced by a Dragon Lance"
45;366910;371470;"while God's Accomplice was 
active, and die instantly,"
46;372170;374390;"would their invisibility cease?"
47;375390;382350;"Or would the <i>Nen</i> remain, leaving them to 
decompose without anyone ever knowing?"
48;382780;384650;"No one knew the answer."
49;385580;391620;"Assuming the latter, confirming whether they 
were still alive would be impossible."
50;392780;396420;"Meaning that, in the worst-case 
scenario, someone else would"
51;396420;398660;"have to deal with Youpi."
52;400600;402920;"That should have been my job..."
53;404680;405670;"Gon!"
54;406520;408170;"Shoot did nothing wrong."
55;408770;412350;"Even I was later than Killua 
in noticing and reacting."
56;415100;417430;"Shoot, don't blame yourself..."
57;418040;419790;"Pull yourself together!"
58;420330;422190;"If Gon and Killua are taking Youpi,"
59;422780;424380;"you're left with Pitou!"
60;427980;429340;"However,"
61;429340;434400;"Shoot was feeling a completely 
different emotion at that moment."
62;436550;437660;"Gon!"
63;438390;441340;"I want to tell the entire world..."
64;442100;443820;""This is Gon!"
65;445580;448290;"A boy less than half my age,"
