Number;Start time in milliseconds;End time in milliseconds;"Text"
1;11270;13450;"I am Worm, a Shadow Beast."
2;13820;16950;"Which group do you belong to?"
3;18430;22760;"We're bodyguards for 
the Nostrade Family."
4;23960;25460;"I see."
5;25780;28460;"It seems that you can use <i>Nen</i>,"
6;28800;30080;"but don't bother."
7;30670;33470;"These aren't ordinary thugs."
8;33810;36720;"To them, taking lives is like breathing."
9;37080;40520;"Y-You could say they're 
professional killers."
10;41370;44350;"And a pro knows his trade best of all."
11;47350;48730;"Rabid Dog."
12;48730;50230;"I'm Leech."
13;50510;52780;"I-I'm Porcupine."
14;54670;58040;"We Shadow Beasts will see to them."
15;139990;145040;"Buildup x To A x Fierce Battle"
16;153870;157180;"After the Phantom Troupe's 
raid on the auction,"
17;157180;161950;"Uvogin has single-handedly 
annihilated the Mafia pursuit."
18;162580;164470;"Now, they watch the arrival"
19;164470;168480;"of the secret weapon dispatched 
by the Mafia's Ten Dons,"
20;168480;170330;"the Shadow Beasts."
21;180920;182490;"Man..."
22;182490;185030;"Not one of them put up much of a fight."
23;185790;186830;"Uvo!"
24;186830;187790;"Yeah?"
25;188110;189110;"Here they come."
26;203050;206120;"Hey, don't interfere."
27;207350;210560;"I still haven't gotten to enjoy myself."
28;211320;212540;"Jeez..."
29;214130;216070;"Let Uvo handle it."
30;216430;218570;"Care for a round, Feitan?"
31;227100;231000;"He's going to fight the 
Shadow Beasts by himself?"
32;239240;240720;"The Shadow Beasts, huh?"
33;241480;243570;"Where did you hide the merchandise?"
34;246790;249100;"What happened to all the 
guards and guests?"
35;249100;250620;"We killed them."
36;250620;252100;"So where's the merchandise?"
37;254770;256610;"If you don't answer me..."
38;270690;272050;"That stung."
39;293350;295900;"Now you can't escape..."
40;295900;297750;"Make your choice."
41;297750;300270;"Do you want to die 
underground, at my hands?"
42;300270;304730;"Or on the surface, at the 
hands of the other three?"
43;311380;312720;"Idiot."
44;323410;324550;"Here he goes."
45;325040;327050;"Uvo's getting serious..."
46;327430;328170;"Four."
47;330840;332930;"You're the one"
48;333890;335930;"who can't escape!"
49;356710;359960;"Big Bang Impact: 
Fist of Destruction"
50;363120;365570;"I-I don't believe it!"
51;366310;369910;"I've never seen a <i>Nen</i> user 
of this caliber before."
52;389230;390360;"That's..."
53;391290;393240;"A spider tattoo."
54;393630;395060;"Then he's..."
55;412210;413390;"Spider..."
56;416500;419530;"Poor chap. 
Not much left of him."
57;420600;425360;"Uvo's Big Bang Impact 
packs a powerful punch."
58;425360;426280;"Honestly..."
59;426280;430030;"He's just throwing a straight right, 
with a little added <i>Nen</i>."
60;430530;431360;"Eight."
61;431800;432580;"Nine."
62;433510;434630;"Ten."
63;436020;438540;"Okay, who's dying next?"
64;438980;440710;"The Phantom Troupe, huh?"
65;441210;443480;"He sounds pretty confident."
66;445210;446980;"You're the one who will die next!"
67;446980;448640;"Fool."
68;450860;452630;"Nice..."
69;452630;454510;"I like reckless opponents."
70;455970;457970;"But you're still going to die!"
71;459970;462330;"I can manipulate my body hair at will."
72;462330;466230;"I can even turn it into hard spikes, yup."
73;466230;468130;"You throw a strong punch,"
74;468130;471490;"but it's meaningless if 
you can't connect, yup."
75;480130;481760;"They managed to damage"
76;481760;484550;"Uvogin's iron skin with nothing 
but body hair and teeth."
77;485400;487880;"Must be skilled <i>Nen</i> users."
78;487880;489450;"I'm impressed."
79;490220;491460;"Thirteen."
80;493440;494610;"No way!"
81;494610;495900;"Sorry."
82;499040;501130;"Want a hand, Uvo?"
83;501560;503140;"Keep out of this!"
84;503480;505660;"Damn it..."
85;505660;506900;"It's futile."
86;506900;509650;"You can't shake off thousands of spikes"
87;509650;512530;"once they've penetrated your skin, yup."
88;513080;516380;"Then I'll use you as my fist!"
89;521860;524280;"Since I can manipulate it at will,"
90;524280;528000;"I can relax certain sections of 
my body hair as necessary, yup."
91;532010;534360;"We've got Muscles on the ropes."
92;534360;535130;"That's bull."
93;541400;542800;"You're damned tough."
94;542800;544730;"Did it finally kick in?"
95;545100;547240;"My fangs secrete a tranquilizer"
96;547240;550980;"that's meant to instantly incapacitate you..."
97;553170;554580;"Bastard..."
98;554580;556600;"Everything from the neck up is unaffected,"
99;556600;559120;"so you can still feel pain and fear."
100;559120;560950;"So sit back and enjoy."
101;561320;564960;"If he were using a lethal poison, 
this fight would be over."
102;565300;567710;"I'm sure he likes to torture opponents."
103;572690;577520;"I keep numerous leeches 
of all sizes within me..."
104;578870;582990;"They'll enter your body 
through your wounds,"
105;582990;585730;"and deposit their eggs in your bladder."
106;585730;589730;"These spotted leeches are 
a gift from me to you."
107;590130;592660;"You're totally disgusting!"
108;595150;599190;"Most people die from the 
excruciating pain"
109;599190;602050;"of hundreds of millions of leeches"
110;602050;605730;"as they hatch inside their bodies."
111;615010;616200;"Yuck."
112;616200;619630;"I thought that uglier usually 
meant better-tasting."
113;622580;624240;"Why are you surprised?"
114;624240;626980;"You aren't the only one 
who can use his teeth."
115;629840;634490;"Everything from my neck up 
is all I need to defeat you."
116;644060;645310;"They're going to lose..."
117;646990;649830;"The Shadow Beasts will lose."
118;665300;666540;"They're going to lose..."
119;668080;671030;"The Shadow Beasts will lose."
120;673570;676240;"Defeat us?"
121;676700;677610;"Heh."
122;678290;683090;"You can't bite me when I'm 
all the way over here."
123;697780;698830;"A bullet?"
124;698830;699630;"No..."
125;699630;701990;"It's a fragment of Leech's 
skull that he bit off!"
126;720840;722460;"He's going to do the same to me?"
127;722460;724030;"But it won't work..."
128;724520;728040;"My body hair will repel 
any projectile, yup."
129;730300;731160;"Huh?"
130;768790;771220;"You can't repel sound projectiles, can you?"
131;771220;772910;"Oh, you can't hear me anymore?"
