Number;Start time in milliseconds;End time in milliseconds;"Text"
1;1860;3200;"You didn't know?"
2;3570;10480;"I'm saying that some unique humans 
are overflowing with life energy."
3;10960;15420;"They're hard to find, which is why they're rare."
4;15420;16740;"Rare?"
5;20550;22300;"What trick is this?"
6;22580;25090;"Suddenly, they feel far stronger."
7;26830;28080;"Thunderbolt!"
8;26920;28420;"{\an9}Thunderbolt"
9;32690;35590;"First comes rock..."
10;37640;38680;"Rock..."
11;39150;40300;"Paper..."
12;41080;43520;"Rock!"
13;45750;48120;"If you wish to become stronger,"
14;48120;50100;"this is a perfect opportunity."
15;50530;54230;"But if you aren't prepared, you won't 
be able to endure the ordeal."
16;56180;57580;"Whether we win or lose,"
17;58810;61950;"hell lies ahead of us."
18;141990;147040;"Kite x And x Slots"
19;151390;153610;"Kite, Gon, and Killua have advanced"
20;153610;158570;"deep within NGL, in search 
of the Chimera Ant nest,"
21;158570;161620;"and have arrived at a cliff 
with peculiar openings."
22;162520;165330;"This is the Chimera Ant nest?"
23;165330;166630;"No."
24;168040;170990;"They don't make their nests in holes."
25;171400;173820;"They use mud and feces to build them."
26;178880;179940;"Let's go."
27;180300;181920;"You'll understand once we're inside."
28;192710;196120;"There's no telling when or 
from where they will attack."
29;196700;198240;"Be on your guard."
30;199080;200950;"Yeah, got it."
31;201570;202970;"That other Chimera Ant"
32;202970;204930;"completely concealed his presence."
33;210000;210880;"Yeah."
34;226060;227240;"Let's go."
35;241110;243260;"Is this place..."
36;243730;248030;"Yes, it is NGL's hidden side."
37;248540;250200;"A drug factory."
38;250200;251630;"Exactly."
39;254060;257290;"This factory produces the ingestible drug D²,"
40;258180;260350;"which is spreading throughout the mainland."
41;261090;263900;"There are probably nearby bila trees, 
which produce its main ingredient."
42;264370;266890;"Ironic given their claims as preservationists."
43;268640;270280;"They're making more than drugs."
44;270880;271700;"Look."
45;272260;274420;"It's the same as the others."
46;276360;282100;"I assume that only the NGL leaders 
know the truth of this place."
47;282690;284430;"The other members"
48;284430;288930;"joined because they honestly loved nature."
49;289580;294060;"So this facility is the center 
of NGL's underground."
50;294810;296940;"If it's empty..."
51;297380;301870;"Then Chimera Ants have wiped 
out the NGL underground."
52;302460;306950;"And a bunch of amateurs with guns 
won't suffice to deal with them."
53;307570;309020;"What about their boss?"
54;309410;311310;"He either escaped or was eaten."
55;311900;313830;"Either way, it's bad news."
56;314130;315920;"Huh? What do you mean?"
57;315920;316690;"Shh!"
58;318400;319590;"A few are around."
59;329260;332910;"They're slowly approaching 
through the middle tunnel."
60;336290;338440;"There are more in the left and right tunnels."
61;339460;340270;"En..."
62;341530;343730;"How far away can you search?"
63;344230;346370;"Everything within a forty-five meter radius."
64;346370;348630;"F-Forty-five meters?"
65;348990;353740;"Depending on physical and mental condition, 
I can increase that by a few meters."
66;354470;355500;"Here they come."
67;378230;380110;"Keep it down, you two."
68;386360;388150;"Who are you guys?"
69;389030;392160;"How dare you intrude on my turf?"
70;392580;395500;"Help... Please help us!"
71;395500;397470;"Stop talking, Spot!"
72;397470;399580;"You're just a damned dog!"
