Number;Start time in milliseconds;End time in milliseconds;"Text"
1;2070;3090;"Wait..."
2;4990;6690;"By using..."
3;6690;7570;"words?"
4;12010;13100;"King..."
5;15450;18410;"Would you like to know your name?"
6;21230;24620;"How would you know my name?"
7;30380;34800;"My subordinates were present at the 
moment of your mother's passing."
8;37630;41010;"She uttered your name with her dying breath."
9;42330;47340;"And my subordinates may have died 
fighting your Royal Guard by now."
10;54110;56380;"Interested in fighting me now?"
11;59950;63720;"If you can force me to admit defeat,"
12;63720;66240;"I will tell you your name."
13;69130;73310;"Force you to admit defeat without killing you?"
14;78190;81060;"So, similar to a bishop and rook handicap..."
15;103700;104770;"No matter."
16;104770;107040;"I shall checkmate you shortly."
17;210980;215980;"Centipede x And x Memory"
18;221860;228020;"As the King and Netero prepared 
for their final battle..."
19;255330;260030;"Beneath the palace, Ikalgo was still sobbing,"
20;260470;264960;"having failed to finish off 
the unconscious Brovada."
21;313540;316030;"Fire! This is the best option!"
22;317180;320180;"There's no one else to help me!"
23;321580;322590;"I h-have to..."
24;324810;325840;"kill him!"
25;332920;334600;"This is no time to be crying..."
26;335080;336680;"I have to find Palm!"
27;337140;337810;"Huh?"
28;338980;341370;"The door to the warehouse area is open."
29;342620;344570;"So is the door leading to the garage!"
30;345190;346150;"Why?"
31;346580;347530;"Don't move!"
32;352080;353830;"If you move, I'll attack."
33;358490;359580;"Welfin..."
34;360270;363840;"I have a lot of things to ask you."
35;363840;365840;"If you seem to be trying anything funny,"
36;366430;367430;"I'll kill you!"
37;369230;371440;"What he wants to ask me"
38;372150;373050;"is obvious!"
39;374170;375450;"The number of my allies,"
40;375900;376960;"their roles,"
41;377680;379100;"and their abilities."
42;379860;383360;"And he intends to use any means 
necessary to get the answers."
43;384570;388490;"People could die if I leak information."
44;389750;391350;"If he's a Manipulator,"
45;391990;394780;"he can obtain the information against my will."
46;397880;398580;"Huh?"
47;398950;400250;"D-Don't move!"
48;400250;401500;"I really will kill you!"
49;401650;403420;"Go ahead... Kill me."
50;403420;404250;"That's what I want!"
51;404740;405750;"Stop!"
52;405750;407760;"If the alternative is betraying my buddies,"
53;408320;409210;"I'll take you with me!"
54;409880;411570;"Ouch!"
55;412150;413890;"Bastard! Now you've done it!"
56;414870;415890;"Damn it!"
57;416200;417360;"I'll kill you!"
58;417680;418760;"Missile Man!"
59;426780;428530;"I'm... not dead..."
