Number;Start time in milliseconds;End time in milliseconds;"Text"
1;6910;9730;"Championship Finals, round 7!"
2;12240;13820;"Ready..."
3;14670;15510;"Go!"
4;16130;17790;"First comes rock..."
5;17790;18740;"Rock... Paper..."
6;18740;19450;"Scissors!"
7;21870;23620;"Killua wins!"
8;24020;24820;"Yes!"
9;27890;29210;"Congratulations."
10;29210;31840;"Here is your prize, the Sword of Truth."
11;34830;35760;"Look, Gon..."
12;35760;40260;"Sword of Truth 

Sword that cuts through 
anything false. Has been 
used in trials to determine 
criminals. Breaks if used 
to cut something true, 
but will regenerate if left 
in scabbard for a day."
13;36430;38320;"This is card #83."
14;38320;39860;"It goes in a restricted slot."
15;40490;42640;"Okay, that's one down."
16;42640;44020;"Score!"
17;123970;129020;"Reality x And x Raw"
18;130730;132060;"The problem"
19;132060;134780;"is how we protect the card."
20;136010;140050;"We don't have any defensive spell cards."
21;140710;143030;"Wait, kids!"
22;143340;146530;"H-Hand over the Sword of Truth!"
23;146530;148410;"Do as I say,"
24;148410;150290;"and I won't be rough with you."
25;150660;152330;"No way, stupid."
26;154410;155300;"W-Wait!"
27;155300;156250;"Book!"
28;157230;158070;"Book!"
29;160160;162030;"Hmph, you're bluffing."
30;162450;165810;"I know that you just started this game."
31;165810;167530;"You have no defensive spells,"
32;167530;170080;"and all you would have in your restricted slots"
33;170080;171500;"is the Sword of Truth."
34;172390;173690;"This is Thief!"
35;173790;180200;"{\fad(175,1)}Thief 

Steal one random card 
from a restricted slot 
of one target player. 

[SR][ATK]"
36;174590;176920;"This spell card lets you steal"
37;176920;180200;"one random card from 
another player's restricted slots!"
38;180870;181700;"Take this..."
39;181700;182800;"Thief on!"
40;182800;184180;"Attack Killua!"
41;187030;188830;"Haven't you been training at all,"
42;188830;189940;"Mister?"
43;192390;194340;"Next time, I won't return your card."
44;195750;197340;"You must be an amateur."
45;197670;201840;"I'm impressed you got into a game for Hunters."
46;202700;204590;"But that was very educational."
47;204590;208110;"An attack spell won't kick in 
until you finish the chant."
48;208580;212740;"Th-That only works against weak players!"
49;213680;214980;"Precisely."
50;223570;226360;"If you want a card, 
you take it from someone."
51;227010;230440;"Only fools would participate in tournaments."
52;231750;234560;"Understand, boys?"
53;236520;238660;"I'm so pissed!"
54;238660;239810;"Just forget it."
55;239810;241650;"Those guys were obviously pros."
56;241650;243320;"At least we didn't waste too much effort."
57;243320;244910;"Damn it!"
58;244910;248640;"Then I'm gonna start getting spell cards!"
59;249460;253640;"That means our next destination 
will be Masadora, City of Magic."
60;254270;255460;"No objections!"
61;273400;275330;"That's our base."
62;278720;280810;"We'll begin assigning roles."
63;281680;284970;"You will collect spell cards for us."
64;285920;289020;"You've probably heard that there 
are forty different spell cards."
65;289540;293180;"We need you to obtain 
one of those cards, Prison."
66;293640;302070;"{\fad(195,1)}Prison 

All slotted cards on target 
page are immune to theft 
or destruction via spell 
card until removed from 
their slot. (Can only 
target pages 1 - 11. 
Free slot pages 
cannot be targeted.) 

[DEF][CONT]"
67;294470;298210;"This is one of the strongest defensive spells."
68;298730;301230;"We could certainly use another one of these."
69;302500;305320;"In order to protect Breath of Archangel."
70;305640;307620;"Breath of Archangel?"
71;308070;312170;"A super-rare SS card that no one's"
72;312170;313590;"ever been able to obtain."
73;314380;317080;"How can you be certain no 
one's gotten one before?"
74;317190;325090;"{\fad(169,1)}List 

Reveal number of card 
holders and number of 
cards for a target item. 

[LR][NORM]"
75;317950;320110;"There's a spell card called List."
76;321260;322670;"When you cast it,"
77;322670;325090;"you can learn the maximum 
transformation limit of any card"
78;325620;328250;"as well as the number of current card holders."
79;329430;330610;"I see."
80;331920;334500;"The card is very difficult to obtain"
81;334940;339710;"because you must have all forty spell 
cards before you can trade for one."
82;340710;344140;"But spell cards are extremely 
useful in this game,"
83;344140;346420;"so players tend to use them up."
84;347850;350120;"However, we've been able"
85;350880;353490;"to collect all forty spell cards."
86;354690;359000;"We would prefer to trade them in for 
a Breath of Archangel at once..."
