Number;Start time in milliseconds;End time in milliseconds;"Text"
1;1100;11490;"{\an8\fad(902,1)}Shroud"
2;3230;4440;"<i>Ten</i>."
3;4440;7790;"The ability to build up a shroud of <i>Nen</i> aura."
4;7790;11490;"You can make your body harder, 
and considerably slow the effects of aging."
5;11510;20490;"{\an8\fad(460,1)}Null"
6;12680;13830;"<i>Zetsu</i>."
7;13830;16190;"A technique that nullifies your <i>Nen</i> aura."
8;16190;17830;"It is effective for concealing your presence,"
9;17830;20010;"and recovering from extreme fatigue."
10;20520;29000;"{\an8\fad(459,1)}Enhance"
11;20970;22110;"<i>Ren</i>."
12;22110;25260;"A technique to create an 
especially strong <i>Nen</i> aura."
13;25260;28480;"This ability is crucial for increasing your power."
14;29020;35510;"{\an8\fad(384,1)}Act"
15;30130;31160;"<i>Hatsu</i>."
16;31160;33200;"The release of your <i>Nen</i> aura,"
17;33200;35510;"after boosting via <i>Ren</i>."
18;36560;39650;"These four elements are known 
as the four major principles,"
19;38720;44020;"{\an8\fad(652,1)}Four Major Principles"
20;39650;43040;"and are critical to the mastery of <i>Nen</i>."
21;128400;129430;"Naturally,"
22;129430;131770;"my double is no mere illusion."
23;131770;135110;"It exists as a second me until I send it away."
24;135950;139260;"You know this after suffering 
an attack from my double."
25;140410;144370;"In other words, you must fight both of my selves."
26;147240;150710;"This is the true Tiger Bite Fist, 
completed through the mastery of <i>Nen</i>."
27;151310;153590;"I call it the True Tiger Bite Fist!"
28;153590;158590;"A x Surprising x Win"
29;161110;164600;"Kastro has used <i>Nen</i> to create 
a double of himself."
30;164600;167910;"And his special attack, the True Tiger Bite Fist,"
31;167910;170600;"has severed Hisoka's right arm."
32;170940;174190;"Who will emerge victorious?"
33;190520;191580;"What's this?"
34;191580;194930;"Hisoka has covered his right arm with a scarf?"
35;195860;199130;"Shall I demonstrate my powers of clairvoyance?"
36;205380;206670;"Wow!"
37;206670;210440;"His right arm has disappeared, 
and cards rain down!"
38;210440;212900;"What does he intend to do?!"
39;219700;221040;"Now, then..."
40;221040;223360;"I have cards here, from one to thirteen."
41;223840;226780;"Pick a number from these,"
42;226780;229370;"and picture it in your head."
43;230290;232120;"Pick a number?"
44;233990;235380;"Are you ready?"
45;235840;239410;"Once you have your number, add four,"
46;239410;241130;"and double the result."
47;241950;245140;"After that, subtract six, and divide by two."
48;245730;249080;"Finally, subtract your original number,"
49;249080;250390;"and what do you have?"
50;250390;252060;"Um..."
51;252060;253970;"Hey, did he say to subtract six?"
52;253970;255900;"Jeez, I don't know!"
53;256710;260400;"I already know your answer."
54;270640;274120;"The answer is one."
55;274410;275730;"He's right!"
56;275730;276950;"How?"
57;276950;278130;"Seriously?"
58;278690;280000;"This is very strange..."
59;280000;281260;"Insane!"
60;281260;283050;"A satanic magic trick!"
61;283050;286770;"And he's incorporated his own 
injury into the trick!"
62;288400;291890;"Why is he so calm?"
63;291890;293660;"The trick is worth no points."
64;293660;295890;"That had no effect on the match,"
65;295890;297790;"but he's performing tricks!"
66;297790;300770;"Hisoka is being totally bizarre again!"
67;301480;303280;"You may keep this as a souvenir."
68;304670;306060;"Scumbag."
69;306060;308160;"I will sever your left arm,"
70;308160;310240;"so you can never mock anyone again."
71;313240;315350;"Did you not hear me the first time?"
72;315350;316750;"You may have it."
73;317700;319630;"Your wish will be granted!"
74;319630;322920;"Whoa! One of the Kastros is charging forward!"
75;325640;330480;"Hisoka has sacrificed his one remaining arm!"
76;330970;334080;"What is he thinking?!"
77;334080;335090;"What?"
78;338780;342150;"As expected, you attacked with your double."
79;342150;347230;"Had you, yourself, attacked, 
I would have countered."
80;349270;350950;"With this."
81;352280;356950;"Huh? His severed right arm has been restored!"
82;359920;362160;"This is another magic trick."
83;362160;365210;"Can you guess the secret behind it?"
84;365420;366610;"He's lying..."
85;366610;370190;"He's obviously employing Nen 
to accomplish this feat."
86;371120;374340;"But what type of Nen is he using?"
87;377550;378920;"What's wrong?"
88;378920;380600;"Are you frightened?"
89;381220;383560;"You're surprised because you 
don't understand my trick."
90;384690;386860;"That's how magic works."
91;387280;390560;"Your power to create a double 
is certainly magnificent."
92;390560;392870;"But now I understand your ability."
93;393930;398250;"I can also anticipate how you 
will attack with your double."
94;398250;400870;"And I know how to counter that attack."
95;401280;403220;"It's quite unfortunate."
96;405120;408190;"You have the talent to 
become a skilled opponent."
97;409310;412700;"That was why I spared your life."
98;414270;416120;"Here is a prediction..."
99;416120;418890;"You will die, in a frenzied dance."
100;421480;423650;"Silence!"
101;428450;430530;"H-How did he pick me out?"
102;430910;435700;"Doubles are created in the original's image,"
103;436160;437790;"so they tend to be pristine."
104;438540;442660;"But you can't recreate every 
effect of an ongoing battle."
105;444460;445670;"Oh?"
106;446250;448340;"Did you not realize this?"
107;461620;464350;"What is going on here?"
108;464350;468030;"This sequence of events is 
impossible to understand!"
109;468030;470740;"Is this another of Hisoka's tricks?"
110;471380;472720;"Don't bother."
111;472720;475360;"I hit you in the chin,"
112;475360;478240;"so you'll have difficulty moving for a while."
