Number;Start time in milliseconds;End time in milliseconds;"Text"
1;1100;11490;"{\an8\fad(902,1)}Shroud"
2;3230;4440;"<i>Ten</i>."
3;4440;7790;"The ability to build up a shroud of <i>Nen</i> aura."
4;7790;11490;"You can make your body harder, 
and considerably slow the effects of aging."
5;11510;20490;"{\an8\fad(460,1)}Null"
6;12680;13830;"<i>Zetsu</i>."
7;13830;16190;"A technique that nullifies your <i>Nen</i> aura."
8;16190;17830;"It is effective for concealing your presence,"
9;17830;20010;"and recovering from extreme fatigue."
10;20520;29000;"{\an8\fad(459,1)}Enhance"
11;20970;22110;"<i>Ren</i>."
12;22110;25260;"A technique to create an 
especially strong <i>Nen</i> aura."
13;25260;28480;"This ability is crucial for increasing your power."
14;29020;35510;"{\an8\fad(384,1)}Act"
15;30130;31160;"<i>Hatsu</i>."
16;31160;33200;"The release of your <i>Nen</i> aura,"
17;33200;35510;"after boosting via <i>Ren</i>."
18;36560;39650;"These four elements are known 
as the four major principles,"
19;38720;44020;"{\an8\fad(652,1)}Four Major Principles"
20;39650;43040;"and are critical to the mastery of <i>Nen</i>."
21;129360;131700;"Yes, that truly was impressive."
22;131990;134220;"I can see the progress you've made"
23;134220;136530;"from these last two fights."
24;137050;140630;"Feel free to pick a time and place..."
25;142870;145660;"I shall be your opponent."
26;149670;154670;"The x True x Pass"
27;158180;161410;"Gon has obtained Hisoka's consent to fight him,"
28;161410;165960;"so he continues to train hard in <i>Nen</i> to prepare."
29;168050;171590;"Today, we will finally begin to train in <i>Hatsu</i>."
30;170210;173810;"{\an8}Act"
31;172160;173810;"Once you master <i>Hatsu</i>,"
32;173810;176660;"you will have learned the basic <i>Nen</i> principles."
33;177130;179150;"After that, you will need to work"
34;179150;181850;"on developing your individual <i>Nen</i> style."
35;181850;183200;"Osu!"
36;183680;186970;"<i>Hatsu</i> is the technique 
by which you control your <i>Nen</i>."
37;186970;189430;"It is the culmination of <i>Nen</i>,"
38;189430;192210;"and there are six distinct categories."
39;192480;196670;"{\an8\fad(254,224)}Enhancer"
40;193770;197210;"Enhancers are able to strengthen objects."
41;197230;199970;"{\an8\fad(258,313)}Emitter"
42;198200;200470;"Emitters can propel their aura."
43;200490;203470;"{\an8\fad(252,267)}Transmuter"
44;201590;203970;"Transmuters can alter their aura's qualities."
45;203990;207260;"{\an8\fad(255,304)}Conjurer"
46;205220;207720;"Conjurers are able to manifest their aura."
47;207740;211230;"{\an8\fad(259,270)}Manipulator"
48;208670;211330;"Manipulators can use their aura 
to control objects and creatures."
49;211750;219400;"{\an8\fad(253,390)}Specialist"
50;212600;216780;"Specialists are those with a 
special aura that doesn't fall"
51;216780;219010;"within the other five classes."
52;220450;224780;"The key is to find the power that suits you."
53;222090;272750;"Enhancer 
Emitter 
Transmuter 
Conjurer 
Manipulator 
Specialist"
54;224780;226450;"The power that suits you?"
55;226450;228670;"<i>Nen</i> is linked to individual ability,"
56;228670;231580;"with two areas of particular prominence."
57;232570;234810;"The first would be your natural potential."
58;234810;238590;"The second would be potential 
refined later in life."
59;239770;241550;"Gon-kun, for example,"
60;241550;245090;"was born with a flexible, springy body."
61;246310;251100;"His acute senses were the product 
of a childhood spent in nature."
62;251930;256360;"From the moment of birth, your <i>Nen</i> aura"
63;256360;258700;"falls within one of the six categories."
64;259280;262560;"While rare, it is possible for your 
<i>Nen</i> aura to later change types."
65;264610;267100;"If you attempt to learn an ability"
66;267100;269690;"that does not fit your inclination,"
67;269690;271730;"you will find it very difficult."
68;272770;273640;"{\an8}Act"
69;273640;303490;"{\an8}Enhancer"
70;273640;303490;"{\an6}Transmuter 
Conjurer"
71;273640;303490;"{\an5}












Specialist"
72;273640;303490;"{\an4}Emitter 
Manipulator"
73;275240;277390;"This hexagon depicts the relationship"
74;277390;278800;"among the six categories."
75;279290;281380;"The closer a class is to your own,"
76;281380;283000;"the higher your compatibility to learn it."
77;283340;284550;"If you are born with an aura"
78;284550;285920;"of the Enhancer category,"
79;285920;289160;"you will find Enhancer abilities easiest"
80;289160;290500;"to learn and master."
81;290990;293980;"And the adjacent Transmuter and Emitter classes"
82;293980;296220;"will also be easy to learn."
83;296220;299820;"On the other hand, the Specialist class,"
84;299820;302650;"which is furthest away, would be difficult."
85;304070;307740;"To illustrate, I'll use skills 
that you've seen for yourselves."
86;309160;310760;"Hisoka was able to change"
87;310760;313660;"his aura into a rubbery substance."
88;313660;315250;"This would be a Transmuter ability."
89;315940;318580;"Gido used his tops and body as 
weapons by making them spin faster,"
90;318580;320500;"which would be an Enhancer power."
91;321620;325350;"However, since using so many tops as weapons"
92;325350;330890;"also requires Manipulator skill, 
he wasn't as successful."
93;331790;333660;"As for Kastro,"
94;333660;336560;"his Tiger Bite was incredibly strong."
95;336560;339650;"Had he mastered it, he would have 
been among the strongest <i>Nen</i> users."
96;340570;344550;"I believe that his aura fell 
into the Enhancer class."
97;344550;348390;"However, he focused his energy on 
the power to create a double,"
98;348940;350870;"which is a Conjurer skill."
99;351600;355250;"And he also required a Manipulator 
ability to control the double."
