Number;Start time in milliseconds;End time in milliseconds;"Text"
1;4090;6090;"Damn... Almost."
2;9510;11780;"It didn't take long for the poison to kick in."
3;14020;15250;"What's going on?"
4;15660;18130;"He wasn't aiming for me..."
5;18660;20290;"He was aiming for the woman."
6;21270;22700;"He was trying to kill her!"
7;105000;110000;"Magic x Of x Despair"
8;127120;128290;"He's back."
9;134070;136400;"The King has returned."
10;159040;161430;"Hey, aren't we too close?"
11;161770;163250;"It's okay..."
12;163250;166680;"We aren't close enough to trigger APR's timer."
13;167590;172440;"The problem will be when 
the King and Pouf split up."
14;173180;177440;"Should I remove APR from Pouf, 
and use it on the King?"
15;180280;182420;"These are known as human grapes."
16;183120;186360;"The humans fit to become 
soldiers wait here to hatch."
17;196750;197540;"Hurry!"
18;198130;199060;"Hurry!"
19;200090;202590;"Hurry! Hurry! Hurry! Hurry!"
20;203260;205930;"Faster! Faster! Faster! Faster! Faster!"
21;211760;212810;"There it is."
22;213150;214240;"Hide it fast."
23;215030;216360;"Hurry! Hurry!"
24;217300;218980;"Faster! Faster!"
25;219350;220990;"Faster! Faster!"
26;222100;223430;"Hurry! Hurry!"
27;224360;227180;"Faster! Faster! Faster! Faster!"
28;226620;227880;"Hurry! Hurry!"
29;227880;229200;"We must also hurry!"
30;229920;231260;"Where is Welfin?"
31;238840;240110;"These won't work."
32;240560;244370;"When the bodies are ripped apart, 
I can't use Living Dead Dolls."
33;249950;250850;"Killua..."
34;253590;256020;"The King has arrived at the palace's entrance!"
35;256020;256790;"Yeah."
36;257300;259310;"We should circle around, following the wall,"
37;259310;261250;"and hide in the crowd."
38;261250;262200;"Okay."
39;264570;266030;"What about Gon and Pitou?"
40;266860;270000;"They just entered the Peijing hiding place."
41;271230;273000;"They're walking down a hallway."
42;275080;277860;"How does that crystal work now?"
43;278310;280240;"You can also see Pouf and me in it?"
44;280680;283560;"Yes, looking from a bit above."
45;285250;287620;"Wink Blue uses my crystal ball"
46;287620;290860;"to remember people seen through my right eye."
47;291350;293120;"Looking through only my left eye,"
48;293120;296700;"I can watch those people's current 
positions in the crystal ball."
49;298050;300550;"At the moment, the crystal ball 
is simultaneously showing"
50;300550;303510;"Gon and Pitou, Killua and me,"
51;303510;306010;"as well as Pouf, the King, and Youpi."
52;307540;310430;"It's like watching a TV screen 
that's been split up."
53;311030;317030;"However, my right eye has only 
seen Pouf, you, and Gon."
54;317670;321470;"So I can only see the others when 
they're around one of you."
55;322950;326720;"And I can only use my power to 
watch three people at once."
56;328010;331940;"If I see someone else with my right eye,"
57;331940;336230;"I won't be able to see the oldest 
of the three targets, Pouf."
58;336920;339960;"I'm not sure you need to keep watching Pouf."
59;340350;344610;"If you can only see his main body, 
and his clones are scattered,"
60;344610;347560;"it's probably more a minus than a plus."
61;348360;349740;"Is that so?"
62;351280;353630;"If I can only see his main body,"
63;353630;357370;"that also means I won't be fooled by clones."
64;358070;363630;"And if his main body is only the size 
of a fly, I can literally crush him."
65;366260;369530;"Our chance to defeat Pouf is while he's divided."
66;370410;372850;"What greater plus is there?"
67;376450;378390;"So they figured me out."
68;379070;382120;"Then I just need to use that against them."
69;426560;427690;"Walk forward."
70;447480;449370;"It's the right door, at the end."
71;472190;475950;"Even with all the noise echoing in the old castle,"
72;476390;480950;"Pitou's hearing was sharp 
enough to pick up the voice"
73;481250;485080;"on a cell phone hidden in a pocket."
74;486920;489370;"Pitou-sama, this is Welfin."
75;490750;493220;"I will keep this as brief as I can."
76;494100;497470;"Brovada and I have retaken the girl."
77;499720;503070;"Intruders are still around,"
78;503550;505430;"so we're taking refuge beneath the palace."
79;506380;508410;"I will let you hear her voice."
80;515590;518400;"Hello? Pitou-sama?"
81;519390;521250;"This is Komugi."
82;521590;525880;"I'm fine, so don't worry."
83;530420;531360;"Got it..."
84;532320;533050;"Goodbye."
85;550830;552780;"Was that good?"
86;553560;554780;"Yes."
87;555450;556690;"If possible,"
88;560820;564290;"can you get me a doctor, Pouf-dono?"
89;565270;566210;"It's him, right?"
90;567870;570590;"Since I can split myself at the cellular level,"
91;571070;573820;"I can also become different people."
92;574590;577590;"I can replicate faces, bodies, even voices."
93;581520;584850;"Now, Pitou is also under my spell..."
94;586370;590530;"The spell of the lie that will 
free Pitou from that curse."
95;592080;596240;"So, keep watching Gon and Pitou."
96;598360;601150;"You should see something interesting soon..."
97;663560;667270;"Now, heal Kite, like you promised."
98;668760;672150;"Once that's done, I'll release her."
99;680210;681280;"Your name..."
100;683290;686470;"What is your name?"
101;687500;688830;"Gon."
102;688830;690310;"Gon Freecss."
103;692750;693560;"Gon..."
104;694430;697190;"You listened to my request."
105;698930;703430;"So I will be honest with you."
106;707650;708560;"He is"
