Number;Start time in milliseconds;End time in milliseconds;"Text"
1;1740;4550;"Hello? Pitou-sama?"
2;5350;7440;"This is Komugi."
3;7440;11970;"I'm fine, so don't worry."
4;14790;15810;"Got it..."
5;20170;23790;"Now, Pitou is also under my spell..."
6;24500;28550;"The spell of the lie that will 
free Pitou from that curse."
7;31520;32290;"Gon..."
8;32600;35340;"You listened to my request."
9;37460;41850;"So I will be honest with you."
10;46200;47440;"He is"
11;49000;50020;"already"
12;51160;52690;"dead."
13;74680;78310;"His soul is no longer here."
14;79290;82340;"There is no way to heal him."
15;90740;91780;"I am sorry."
16;99490;100380;"Huh?"
17;101330;104450;"Why is it healing Pitou's arm?"
18;105560;107820;"Turn Kite back to normal."
19;112410;114010;"Please..."
20;115120;118110;"After you finish what you're doing..."
21;199970;204970;"Anger x And x Light"
22;211200;213480;"The tables have been turned."
23;215830;220740;"Pitou believes we have recovered Komugi."
24;221690;225740;"The way things are looking, 
that Gon boy will be killed."
25;227020;230990;"I am the only one who can stop Pitou."
26;232330;236250;"If you hand the woman over 
to me, I will stop Pitou..."
27;244490;247100;"Get lost, scumbag!"
28;250010;251770;"Leave her to me."
29;252860;257280;"I swear upon these eyes that 
I will not let them have her."
30;258520;260530;"Yeah, I'm counting on you."
31;261360;262530;"Speed of Lightning!"
32;265480;266280;"Gon..."
33;266970;269340;"Wait for me to get there!"
34;341780;342860;"Gon..."
35;344530;347350;"I'm sorry to say this,"
36;349620;351360;"but I must kill you."
37;354000;355360;"For the King."
38;368020;369140;"You must"
39;369890;371180;"kill me?"
40;372320;374200;"You aren't going to heal him?"
41;378110;381210;"Then you really aren't"
42;383040;385000;"going to heal Kite..."
43;399140;400580;"Liar."
44;468670;469650;"What?"
45;472300;474660;"What is this?"
46;484950;486830;"I don't care"
47;491290;492970;"if this is the end..."
48;528870;529860;"So..."
49;531960;533440;"I'll use everything."
50;540150;543290;"I was right."
51;544990;547970;"His power is now equal"
52;548950;550740;"to that of the King!"
53;554410;558090;"I'll kill you,"
54;561520;563460;"Pitou!"
55;575940;577510;"Terpsichora!"
56;581050;583000;"Exceed your limits,"
57;583000;584270;"and dance!"
58;592010;594540;"I must stop him here!"
59;614490;615800;"It can't be!"
60;617970;619550;"Is he heading for the King?"
61;647190;648210;"Come."
62;650290;653570;"I don't want to destroy this place."
63;665170;666320;"This way."
64;670020;671280;"Follow me."
65;726410;728570;"I don't know how he did it,"
66;729120;731520;"but he's forced his body to mature to a point"
67;734170;736350;"at which he's able to defeat me."
68;799870;802260;"First comes"
69;807830;809280;"rock..."
70;839750;840560;"Rock."
71;841990;842820;"Paper."
72;845810;846820;"Rock."
73;864370;866950;"Sinking deeply into unconsciousness,"
74;866950;869260;"Pitou felt a sense of relief."
75;870630;872400;"Thank goodness..."
76;877820;883290;"This power could only be achieved through 
the sacrifice of his own life energy."
77;885550;888800;"<i>He's prepared to never use</i> Nen <i>again.</i>"
78;889880;894620;"That was the resolve required 
to perform this feat."
79;902340;904830;"An enemy blessed with immense talent"
80;905340;911550;"has been forced to exchange all 
of that talent for this power."
81;921450;923080;"I'm so glad"
82;924160;925400;"I am the one"
83;926950;928540;"that he will kill..."
84;940620;946640;"Having used Speed of Lightning to race 
to Gon, Killua arrived to hear..."
85;960580;962940;"Which one of them is doing that?"
86;968280;969190;"Gon!"
87;971380;973790;"And what he found was..."
