Number;Start time in milliseconds;End time in milliseconds;"Text"
1;1700;3810;"This is a tomb."
2;8800;10480;"Your tomb."
3;29430;31250;"I am very thankful."
4;40100;42020;"Thankful for everything"
5;43120;45360;"that has made our meeting possible!"
6;128980;134020;"Zero x And x Rose"
7;196530;200630;"As his time was compressed to its utmost limits,"
8;200630;205370;"the King, his consciousness alone barely following 
the afterimages of Netero's movements,"
9;206840;209680;"found that a single emotion reigned within him..."
10;217620;221050;"Complete and utter admiration for his enemy."
11;239150;240010;"That's it."
12;241800;246550;"He brings his hands together to start the attack."
13;247090;250680;"That's the only motion he has 
that far surpasses my speed."
14;254040;259240;"Such wasted movement could 
cost one's life in battle,"
15;259240;262700;"but now, it works as a weapon 
that may allow him to defeat me."
16;263420;268950;"Trying to guess what drove 
him to do this is pointless."
17;269900;274460;"It would have required choosing 
a path that defies reason."
18;275150;280220;"I would presume that, at one point, 
he was on the verge of madness..."
19;282430;285530;"Five years... Perhaps ten years..."
20;291390;293980;"And the entire time, he focused on this alone."
21;316800;318050;"I recognize that"
22;320130;324640;"you have dedicated an incredible amount of time"
23;325130;328350;"to achieve the power you have displayed."
24;330140;333180;"After all that, he's barely been scratched."
25;333180;335300;"Not that I expected any different."
26;338710;340170;"An individual"
27;342310;345860;"can reach his limit after much training."
28;346490;350030;"You are a rare example of one 
who has transcended that limit."
29;353000;354140;"Bravo."
30;354840;356360;"You have earned my praise."
31;358390;360170;"An insect"
32;361610;365590;"should not talk down to humans!"
33;382540;385890;"The King's strategy was quite simple."
34;386670;388230;"Keep attacking."
35;389120;394080;"If the only attack capable of besting him, 
100-Type Guanyin Bodhisattva,"
36;394080;398510;"could do next to no damage, 
the King had no cause for fear."
37;401330;403530;"These are no more than dummy hands."
38;403940;406280;"They can only move in set patterns."
39;406950;411590;"If I attack from an angle that he can't 
block with a move he's already used,"
40;411590;414780;"he'll have no choice but to reveal a new move."
41;417350;420450;"Once I have verified all of the combinations,"
42;420450;427860;"I can find the angle of attack that will 
force him to reveal another new move."
43;431290;435100;"However, while he may have a limited 
number of attack patterns,"
44;435100;440120;"the number of combinations they can 
be used in may as well be infinite."
45;444210;448380;"But every individual has a rhythm."
46;449100;452780;"There will be an unconscious bias for, 
and against, certain patterns,"
47;453200;456620;"and that bias naturally shapes one's identity."
48;457480;460320;"If I can identify his personal rhythm,"
49;460320;466650;"I have a fair chance of guessing 
which patterns he will select."
50;467590;472400;"To find the single correct needle 
among countless millions,"
