Number;Start time in milliseconds;End time in milliseconds;"Text"
1;1100;11490;"{\an8\fad(902,1)}Shroud"
2;3230;4440;"Ten."
3;4440;7790;"The ability to build up a shroud of <i>Nen</i> aura."
4;7790;11490;"You can make your body harder, 
and considerably slow the effects of aging."
5;11510;20490;"{\an8\fad(460,1)}Null"
6;12680;13830;"Zetsu."
7;13830;16190;"A technique that nullifies your <i>Nen</i> aura."
8;16190;17830;"It is effective for concealing your presence,"
9;17830;20010;"and recovering from extreme fatigue."
10;20520;29000;"{\an8\fad(459,1)}Enhance"
11;20970;22110;"Ren."
12;22110;25260;"A technique to create an 
especially strong <i>Nen</i> aura."
13;25260;28480;"This ability is crucial for increasing your power."
14;29020;35510;"{\an8\fad(384,1)}Act"
15;30130;31160;"Hatsu."
16;31160;33200;"The release of your <i>Nen</i> aura,"
17;33200;35510;"after boosting via <i>Ren</i>."
18;36560;39650;"These four elements are known 
as the four major principles,"
19;38720;44020;"{\an8\fad(652,1)}Four Major Principles"
20;39650;43040;"and are critical to the mastery of <i>Nen</i>."
21;126810;127560;"Gon,"
22;128250;132060;"we need to learn more about <i>Nen</i>."
23;133900;134990;"Yeah!"
24;135820;140820;"An x Empty x Threat"
25;142230;145870;"After two months, during which Gon 
was forbidden to practice <i>Nen</i>,"
26;145870;150240;"Wing has summoned Gon 
and Killua to see him."
27;151810;154090;"Gon-kun. Killua-kun."
28;154600;157680;"Starting today, you'll train with Zushi."
29;158640;160880;"Gon-kun, I'm pleased"
30;160880;163100;"that you kept your word."
31;163100;165210;"It's thanks to your promise thread."
32;165650;168850;"A few times, I almost gave in."
33;168850;171060;"But when I looked at the thread,"
34;171060;173610;"I was able to control myself."
35;173610;176280;"That's because I added some <i>Nen</i> to help you."
36;176280;177740;"Huh? Really?"
37;177740;179990;"No, I was lying."
38;180310;181490;"Huh?"
39;181490;185330;"But how could you tell that he kept his word?"
40;185330;188790;"He could have been practicing in secret."
41;190430;193500;"Because the promise thread remained intact."
42;193830;198110;"Gon-kun, it's been a while, 
but would you try using <i>Ten</i>{\fscx20} {\fscx100}?"
43;198110;199040;"It's okay?"
44;199040;200010;"Yes."
45;201090;203510;"Crap, do I remember how to do this?"
46;204490;206590;"It's been so long."
47;206590;208770;"Can I still pull it off?"
48;219810;221620;"Zushi, what do you think?"
49;221620;223620;"I-It's amazing!"
50;223620;226530;"His aura is flowing all around him!"
51;227220;228840;"Soft and calm..."
52;228840;231720;"But it's very strong!"
53;232700;233980;"I did it!"
54;233980;235210;"Whew..."
55;235210;238050;"I was worried that I might 
have forgotten how."
