Number;Start time in milliseconds;End time in milliseconds;"Text"
1;3190;4980;"Your technique"
2;5500;8980;"has two huge weaknesses!"
3;95990;100990;"Compassion x And x Strength"
4;102420;106510;"Gon has finally challenged 
Knuckle to a serious fight."
5;106510;111500;"However, Knuckle claims that 
Gon's technique has serious flaws."
6;116170;117550;"So, Gon..."
7;118780;122300;"What did you name that technique?"
8;122590;127010;"Oops! I think I forgot to name my attack."
9;128330;130170;"Ja-Janken!"
10;130170;132310;"Wow, zero effort..."
11;135110;137050;"Jajanken..."
12;137050;138910;"I understand."
13;138910;144200;"You combined "jajan" for "ta-dah," with 
"janken" for your attack, "Rock-Paper-Scissors.""
14;144510;146190;"Ah, no..."
15;147040;150080;"The first "ja" was a stutter."
16;151580;154620;"Not a bad name, kid!"
17;154620;156140;"Uh, yeah."
18;156140;157690;"Guess I'm okay with that."
19;157690;158840;"You are?!"
20;159210;164010;"Gon, your Jajanken has two huge weaknesses."
21;164580;166970;"First, it takes too long to charge."
22;168860;174360;"During a fight, you don't have time 
to stand still for several seconds."
23;174360;177780;"I wouldn't count on having the time to charge it."
24;177780;179240;"I know that."
25;179690;181860;"Second, it's too risky."
26;183510;188260;"When you focus aura in your 
fist to increase power,"
27;188260;190890;"you have less aura for defense."
28;190890;194750;"One attack to the wrong place 
will take you out, fool!"
29;195170;197320;"I know the risks."
30;197320;201760;"That's why I've spent the past month 
training to compensate for them!"
31;204760;208090;"Now that I see it again, 
his aura really is something."
32;208090;212150;"In terms of volume, he has 
as much as a mid-level pro."
33;212580;214020;"He's so close..."
34;217520;219690;"But you still lack"
35;221210;222780;"experience."
36;227060;228730;"You haven't been in"
37;230460;232290;"enough real fights!"
38;235500;237970;"You've got plenty of determination."
39;237970;240130;"It seems you've looked death 
in the eye many times,"
40;240130;242300;"and you have natural talent."
41;242580;245230;"However, you're still unrefined."
42;247370;249600;"Your aura is too rough!"
43;250850;253490;"I can tell which area you're defending."
44;253490;256030;"I can see what you're trying to do."
45;256770;259440;"Your aura gives it all away."
46;262300;266490;"So if I use that information to fake you out,"
47;269780;272450;"shifting your intended point of attack..."
48;283330;284500;"This is the result!"
49;288150;289310;"Damn..."
50;289310;292350;"His aura is giving away his every move!"
51;295570;298610;"I was right! Knuckle really is..."
52;300320;302030;"Okay, then..."
53;302730;305110;"Time to throw a real punch."
54;305730;306860;"He's so..."
55;307170;310140;"Don't blame me if you die."
56;311120;312870;"{\fad(1,683)}He's so gentle!"
57;313160;314480;"Behind you, fool!"
58;318760;321920;"Without his warning, I could have died."
59;323130;325970;"First, it takes too long to charge."
60;326940;328800;"He's teaching me when he doesn't have to..."
61;329350;331850;"And providing guidance."
62;333080;335860;"He's telling me how to become stronger."
63;339400;340860;"He's too gentle!"
64;345160;349060;"First comes rock..."
65;365360;368360;"I told you that you won't pull off that attack."
66;368360;369840;"Don't fool around with me!"
67;370810;373850;"That was your full strength?"
68;376320;378280;"Which one of us is fooling around?!"
69;379150;380850;"It's supposed to be a serious fight!"
70;381320;384360;"You should be fighting to kill, Knuckle!"
71;387600;392700;"First comes rock..."
72;399030;400000;"Here I go!"
73;401440;402500;"Rock..."
74;407090;408100;"Over here!"
75;414550;416890;"First comes rock..."
76;417590;418390;"Rock..."
77;433700;435300;"Bastard..."
78;435300;438120;"He faked me out with his Jajanken."
79;439710;442770;"It's obvious that you're focused 
on stopping my special attack."
80;442770;447130;"Even I could tell exactly when your 
right arm was going to strike."
81;448410;452770;"He's using Jajanken's weakness, the long 
charge time, against his opponent."
82;453220;455470;"He's playing mind games."
83;457140;461910;"Knuckle sees Gon's Jajanken as an easy pitch."
84;461910;463630;"He has to swing for it."
85;463630;466770;"It's a perfect pitch, right down the 
middle, that he has to send flying."
86;467830;469280;"That's the trigger."
87;469810;472660;"When you see the easy ball, you tense up."
88;473720;475410;"You can hit it. You have to."
89;475970;479910;"These thoughts make you use 
more strength than necessary."
90;480500;482860;"The same thing applies to aura."
91;483340;485550;"<i>If a </i>Nen <i>user doesn't control their aura,</i>"
92;485550;487580;"it will gather in areas of tension."
93;487580;490440;"The moment of the swing, it intensifies further."
94;491630;495620;"<i>If the</i> Nen <i>user is inexperienced or out of control, </i>"
95;495620;499470;"the aura will either stagnate 
or just flow too freely."
96;500330;502160;"The flow of the aura"
97;502160;504310;"lets the opponent sense 
when an attack will come."
98;504930;507820;"You should be fighting to kill, Knuckle!"
99;508280;511820;"By calling him out for being soft, 
Gon threw Knuckle off."
100;512100;514320;"As a result, he managed to fake Knuckle out."
101;515220;519690;"I'd think this tactic would be more effective 
on those who know Jajanken's strength."
102;520540;524920;"Opponents who have seen how 
strong the technique can be"
103;524920;529180;"will be more scared and likely to lose 
control when they see it coming."
104;529880;532380;"The fake-out will be more believable,"
105;532380;533740;"and if the enemy steps back,"
106;533740;536230;"they're easier to hit with Scissors or Paper."
